indicator,avg_concentration
Ацетон,7151.0
Железо общее,543.6638968481376
Циклогексанол,451.0
Изопропанол,360.0
Фенол,337.6818181818182
Аммоний-ион,239.57291666666666
Нафталин,233.0
Фосфаты,167.86083333333332
Марганец,145.99449560485562
Взвешенные вещества,143.23424770642202
Этилацетат,130.0
Медь,123.48102836879433
Лигнин сульфатный,107.0
Цинк,104.22362869198312
Нитрит-ионы,93.21428571428571
Нефть и нефтепродукты,92.04604316546762
Хром (VI),89.71428571428571
Алюминий,82.68627450980392
ХПК,73.3
Метанол,72.4
АСПАВ,70.0
Лигносульфонаты,68.46666666666667
Ванадий,67.6
Никель,64.3177570093458
Дитиофосфат крезиловый,62.38095238095238
Бензол,62.0
Сульфиды и сероводород,52.12410810810811
БПК5,43.57354497354497
Вольфрам,26.0
Кадмий,20.566666666666666
ДДТ,14.476190476190476
Молибден,12.856830601092897
Бенз(а)пирен,11.512592592592593
Ртуть,10.620754716981132
ГХЦГ,10.082258064516129
Водородный показатель (pH),9.794242424242423
Свинец,9.45945945945946
Мышьяк,8.166666666666666
Дихлорфенол,8.0
Формальдегид,7.666666666666667
Дихлордифенилдихлорэтилен (ДДЭ),7.0
Бериллий,6.0
Запах,5.0
Растворенный кислород,0.8336591928251138
