indicator,avg_concentration,total_cases
Ацетон,7151.0,1
Железо общее,543.6638968481376,349
Циклогексанол,451.0,1
Изопропанол,360.0,1
Фенол,337.6818181818182,66
Аммоний-ион,239.57291666666666,99
Нафталин,233.0,1
Фосфаты,167.86083333333332,12
Марганец,145.99449560485562,2391
Взвешенные вещества,143.23424770642202,1090
Этилацетат,130.0,1
Медь,123.48102836879433,564
Лигнин сульфатный,107.0,1
Цинк,104.22362869198312,237
Нитрит-ионы,93.21428571428571,70
Нефть и нефтепродукты,92.04604316546762,287
Хром (VI),89.71428571428571,14
Алюминий,82.68627450980392,51
ХПК,73.3,10
Метанол,72.4,5
АСПАВ,70.0,1
Лигносульфонаты,68.46666666666667,15
Ванадий,67.6,5
Никель,64.3177570093458,107
Дитиофосфат крезиловый,62.38095238095238,21
Бензол,62.0,1
Сульфиды и сероводород,52.12410810810811,37
БПК5,43.57354497354497,189
Вольфрам,26.0,1
Кадмий,20.566666666666666,60
ДДТ,14.476190476190476,21
Молибден,12.856830601092897,183
Бенз(а)пирен,11.512592592592593,54
Ртуть,10.620754716981132,106
ГХЦГ,10.082258064516129,83
Водородный показатель (pH),9.794242424242423,33
Свинец,9.45945945945946,37
Мышьяк,8.166666666666666,18
Дихлорфенол,8.0,1
Формальдегид,7.666666666666667,3
Дихлордифенилдихлорэтилен (ДДЭ),7.0,1
Бериллий,6.0,2
Запах,5.0,14
Растворенный кислород,0.8336591928251138,1115
