id,period,subject,municipality,settlement,oktmo,water_body,indicator,hazard_class,cnt_cases,value_min,value_max,unit,indicator,pdk_hazard_class,pdk_value,date_start,date_end,ingredient_npa,in_period,concentration_mg_l
1,2008-01-31,Камчатский край,Усть-Камчатский район,п. Козыревск,30619405101,р. Камчатка,Кадмий,2,1,6.0,6.0,ПДК,Кадмий,2,0.001,2003-04-30,2021-01-27,СанПиН-2003,true,0.006
2,2008-01-31,Курганская область,Курган,г. Курган,37701000001,вдхр. Курганское,Марганец,4,1,60.0,60.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.6
3,2008-01-31,Московская область,Королёв,г. Королев,46734000001,"ручей, впадающий в реку Клязьму",Нефть и нефтепродукты,3,8,71.0,100.0,ПДК,Нефть и нефтепродукты,3,0.05,1999-04-28,2010-01-17,Госкомрыболовство-99,true,5.0
4,2008-01-31,Мурманская область,Печенгский муниципальный район,пгт. Никель,47515000051,р. Колос-Йоки,Никель,3,1,60.0,60.0,ПДК,Никель,3,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.6
6,2008-01-31,Омская область,Крутинский район,рп. Крутинка,52626151051,оз. Ик,Марганец,4,1,85.0,85.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.85
7,2008-01-31,Омская область,Усть-Ишимский район,с. Усть-Ишим,52657432101,р. Ишим,Марганец,4,1,54.0,54.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.54
8,2008-01-31,Оренбургская область,Медногорск,г. Медногорск,53715000001,р. Блява,Медь,3,1,155.0,155.0,ПДК,Медь,3,1.0,2003-04-30,2021-01-27,СанПиН-2003,true,155.0
10,2008-01-31,Пермский край,Кизеловский район,г. Кизел,57719000001,р. Кизел,Марганец,4,1,895.0,895.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,8.950000000000001
11,2008-01-31,Пермский край,Кизеловский район,г. Кизел,57719000001,р. Кизел,Железо общее,4,1,2890.0,2890.0,ПДК,Железо общее,4,0.1,1999-04-28,2010-01-17,Госкомрыболовство-99,true,289.0
12,2008-01-31,Пермский край,Губаха,г. Губаха,57717000001,р. Косьва,Железо общее,4,1,73.0,73.0,ПДК,Железо общее,4,0.1,1999-04-28,2010-01-17,Госкомрыболовство-99,true,7.300000000000001
13,2008-01-31,Пермский край,Александровский район,рп. Всеволодо-Вильва,57605154051,р. Северная Вильва,Марганец,4,1,135.0,135.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,1.35
14,2008-01-31,Пермский край,Александровский район,рп. Всеволодо-Вильва,57605154051,р. Северная Вильва,Железо общее,4,1,180.0,180.0,ПДК,Железо общее,4,0.1,1999-04-28,2010-01-17,Госкомрыболовство-99,true,18.0
15,2008-01-31,Сахалинская область,городской округ Город Южно-Сахалинск,г. Южно-Сахалинск,64701000001,р. Сусуя,Сульфиды и сероводород,4,1,8.0E-4,8.0E-4,мг/л,Сульфиды и сероводород,4,0.05,2003-04-30,2021-01-27,СанПиН-2003,true,8.0E-4
16,2008-01-31,Сахалинская область,Поронайский городской округ,г. Поронайск,64740000001,р. Черная,Марганец,4,1,68.0,68.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.68
17,2008-01-31,Свердловская область,муниципальное образование «город Екатеринбург»,г. Екатеринбург,65701000001,р. Исеть,Нитрит-ионы,4э,1,73.0,73.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,1.46
19,2008-01-31,Свердловская область,город Каменск-Уральский,г. Каменск-Уральский,65740000001,р. Исеть,Нитрит-ионы,4э,1,128.0,128.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,2.56
20,2008-01-31,Свердловская область,город Каменск-Уральский,г. Каменск-Уральский,65740000001,р. Исеть,Нитрит-ионы,4э,1,75.0,75.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,1.5
21,2008-01-31,Свердловская область,Белоярский городской округ,с. Колюткино,65706000201,р. Исеть,Нитрит-ионы,4э,1,184.0,184.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,3.68
22,2008-01-31,Свердловская область,Невьянский городской округ,г. Невьянск,65714000001,р. Нейва,Марганец,4,1,55.0,55.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.55
23,2008-01-31,Свердловская область,муниципальное образование «город Екатеринбург»,г. Екатеринбург,65701000001,р. Патрушиха,Марганец,4,1,76.0,76.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.76
24,2008-01-31,Свердловская область,Берёзовский городской округ,г. Березовский,65731000001,р. Пышма,Марганец,4,1,79.0,79.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.79
25,2008-01-31,Свердловская область,Берёзовский городской округ,г. Березовский,65731000001,р. Пышма,Нитрит-ионы,4э,1,116.0,116.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,2.32
26,2008-01-31,Свердловская область,городской округ Верхний Тагил,г. Верхний Тагил,65733000001,р. Тагил,Марганец,4,1,77.0,77.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.77
27,2008-01-31,Свердловская область,Слободо-Туринский муниципальный район,с. Тимофеево,65639460161,р. Тура,Марганец,4,1,62.0,62.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.62
28,2008-01-31,Свердловская область,Слободо-Туринский муниципальный район,с. Тимофеево,65639460161,р. Тура,Растворенный кислород,0,1,1.19,1.19,мг/л,,,,,,,,1.19
29,2008-01-31,Свердловская область,Слободо-Туринский муниципальный район,с. Тимофеево,65639460161,р. Тура,Марганец,4,1,52.0,52.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.52
30,2008-01-31,Тюменская область,Салехард,г. Салехард,71951000001,р. Полуй,Растворенный кислород,0,1,1.95,1.95,мг/л,,,,,,,,1.95
31,2008-01-31,Тюменская область,Пуровский муниципальный район,пгт. Уренгой,71920159051,р. Пур,Железо общее,4,1,69.0,69.0,ПДК,Железо общее,4,0.1,1999-04-28,2010-01-17,Госкомрыболовство-99,true,6.9
32,2008-02-29,Вологодская область,Сокольский район,г. Сокол,19638101001,р. Пельшма,Лигносульфонаты,4,1,84.0,84.0,ПДК,Лигносульфонаты,4,2.0,2016-12-13,2099-12-31,Минсельхоз-2016,false,168.0
34,2008-02-29,Кемеровская область - Кузбасс,Гурьевский район,г. Гурьевск,32502000001,р. Малый Бачат,Марганец,4,1,50.0,50.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.5
35,2008-02-29,Курганская область,Курган,г. Курган,37701000001,вдхр. Курганское,Марганец,4,1,92.0,92.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.92
