id,period,subject,municipality,settlement,oktmo,water_body,indicator,hazard_class,cnt_cases,value_min,value_max,unit,indicator,pdk_hazard_class,pdk_value,date_start,date_end,ingredient_npa,in_period,concentration_mg_l
18,2008-01-31,Свердловская область,муниципальное образование «город Екатеринбург»,г. Екатеринбург,65701000001,р. Исеть,Взвешенные вещества,0,1,110.0,110.0,ПДК,,,,,,,,
33,2008-02-29,Вологодская область,Сокольский район,г. Сокол,19638101001,р. Пельшма,БПК5,0,1,27.0,27.0,ПДК,,,,,,,,
56,2008-02-29,Свердловская область,муниципальное образование «город Екатеринбург»,г. Екатеринбург,65701000001,р. Исеть,Взвешенные вещества,0,1,163.0,163.0,ПДК,,,,,,,,
77,2008-03-31,Вологодская область,Сокольский район,г. Сокол,19638101001,р. Пельшма,БПК5,0,1,31.0,31.0,ПДК,,,,,,,,
131,2008-04-30,Курганская область,Звериноголовский район,с. Звериноголовское,37609418101,р. Тобол,Взвешенные вещества,0,1,65.0,65.0,ПДК,,,,,,,,
146,2008-04-30,Пермский край,Пермь,г. Пермь,57701000001,вдхр. Воткинское,Взвешенные вещества,0,1,645.0,645.0,ПДК,,,,,,,,
147,2008-04-30,Пермский край,Пермь,г. Пермь,57701000001,вдхр. Камское,Взвешенные вещества,0,1,75.0,75.0,ПДК,,,,,,,,
148,2008-04-30,Пермский край,Чернушинский район,г. Чернушка,57757000001,р. Быстрый Танып,Взвешенные вещества,0,1,90.0,90.0,ПДК,,,,,,,,
149,2008-04-30,Пермский край,Кудымкар,г. Кудымкар,57851000001,р. Иньва,Взвешенные вещества,0,1,52.0,52.0,ПДК,,,,,,,,
153,2008-04-30,Пермский край,Лысьва,г. Лысьва,57726000001,р. Лысьва,Взвешенные вещества,0,1,62.0,62.0,ПДК,,,,,,,,
154,2008-04-30,Пермский край,Карагайский район,с. Рождественск,57622434101,р. Обва,Взвешенные вещества,0,1,58.0,58.0,ПДК,,,,,,,,
157,2008-04-30,Пермский край,Кунгур,г. Кунгур,57722000001,р. Сылва,Взвешенные вещества,0,1,178.0,178.0,ПДК,,,,,,,,
158,2008-04-30,Пермский край,Кунгур,г. Кунгур,57722000001,р. Сылва,Взвешенные вещества,0,1,145.0,145.0,ПДК,,,,,,,,
