id,period,subject,municipality,settlement,oktmo,water_body,indicator,hazard_class,cnt_cases,value_min,value_max,unit,indicator,pdk_hazard_class,pdk_value,date_start,date_end,ingredient_npa,in_period,concentration_mg_l
5,2008-01-31,Мурманская область,Городской округ город Мончегорск с подведомственной территорией,г. Мончегорск,47715000111,р. Нюдуай,Водородный показатель (pH),0,1,9.9,9.9,pH,,,,,,,,
250,2008-06-30,Мурманская область,Городской округ город Мончегорск с подведомственной территорией,г. Мончегорск,47715000111,р. Нюдуай,Водородный показатель (pH),0,1,9.8,9.8,pH,,,,,,,,
459,2009-02-28,Мурманская область,Городской округ город Мончегорск с подведомственной территорией,г. Мончегорск,47715000111,р. Нюдуай,Водородный показатель (pH),0,1,10.35,10.35,pH,,,,,,,,
840,2010-01-31,Мурманская область,Городской округ город Мончегорск с подведомственной территорией,г. Мончегорск,47715000111,р. Нюдуай,Водородный показатель (pH),0,1,9.95,9.95,pH,,,,,,,,
869,2010-02-28,Мурманская область,Городской округ город Мончегорск с подведомственной территорией,г. Мончегорск,47715000111,р. Нюдуай,Водородный показатель (pH),0,1,10.0,10.0,pH,,,,,,,,
942,2010-03-31,Мурманская область,Городской округ город Мончегорск с подведомственной территорией,г. Мончегорск,47715000111,р. Нюдуай,Водородный показатель (pH),0,1,10.1,10.1,pH,,,,,,,,
1033,2010-04-30,Мурманская область,Городской округ город Мончегорск с подведомственной территорией,г. Мончегорск,47715000111,р. Нюдуай,Водородный показатель (pH),0,1,9.9,9.9,pH,,,,,,,,
1129,2010-05-31,Вологодская область,Город Череповец,г. Череповец,19730000001,р. Нелаза,Водородный показатель (pH),0,1,3.6,3.6,pH,,,,,,,,
1428,2011-02-28,Мурманская область,Городской округ город Мончегорск с подведомственной территорией,г. Мончегорск,47715000111,р. Нюдуай,Водородный показатель (pH),0,1,10.0,10.0,pH,,,,,,,,
1479,2011-03-31,Мурманская область,Городской округ город Мончегорск с подведомственной территорией,г. Мончегорск,47715000111,р. Нюдуай,Водородный показатель (pH),0,1,9.9,9.9,pH,,,,,,,,
2022,2012-04-30,Мурманская область,Городской округ город Мончегорск с подведомственной территорией,г. Мончегорск,47715000111,р. Нюдуай,Водородный показатель (pH),0,1,9.87,9.87,pH,,,,,,,,
2359,2013-01-31,Мурманская область,Городской округ город Мончегорск с подведомственной территорией,г. Мончегорск,47715000111,р. Нюдуай,Водородный показатель (pH),0,1,9.8,9.8,pH,,,,,,,,
2390,2013-02-28,Мурманская область,Городской округ город Мончегорск с подведомственной территорией,г. Мончегорск,47715000111,р. Нюдуай,Водородный показатель (pH),0,1,10.3,10.3,pH,,,,,,,,
2458,2013-03-31,Мурманская область,Городской округ город Мончегорск с подведомственной территорией,г. Мончегорск,47715000111,р. Нюдуай,Водородный показатель (pH),0,1,9.79,9.79,pH,,,,,,,,
