subject,total_cases,avg_concentration,avg_exceed_ratio,records,municipality,settlement,OKTMO
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Прокопьевский,с. Терентьевское,32522000476
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Новокузнецкий,п. Недорезово,32619432136
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Новокузнецкий,с. Красулино,32619432101
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Новокузнецкий,с. Красулино,32619432101
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Тисульский район,п. Макаракский,32628160111
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Тисульский район,п. Макаракский,32628160111
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Новокузнецкий,с. Красулино,32619432101
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Новокузнецкий,г. Новокузнецк,32731000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Новокузнецкий,г. Новокузнецк,32731000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Новокузнецкий,г. Новокузнецк,32731000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Новокузнецкий,г. Новокузнецк,32731000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Новокузнецкий,с. Красулино,32619432101
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Новокузнецкий,с. Красулино,32619432101
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Новокузнецкий,с. Красулино,32619432101
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Новокузнецкий,г. Новокузнецк,32731000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Новокузнецкий,г. Новокузнецк,32731000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32,Гурьевский район,г. Гурьевск,32502000001
Калининградская область,4,32.575,42.33333333333333,4,Город Калининградский,г. Калининград,27701000001
Калининградская область,4,32.575,42.33333333333333,4,Город Калининградский,г. Калининград,27701000001
Калининградская область,4,32.575,42.33333333333333,4,Город Калининградский,г. Калининград,27701000001
Калининградская область,4,32.575,42.33333333333333,4,Город Калининградский,г. Калининград,27701000001
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Северный район,с. Северное,50644425101
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Северный район,с. Северное,50644425101
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Северный район,с. Северное,50644425101
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Куйбышевский район,г. Куйбышев,50630101001
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Куйбышевский район,г. Куйбышев,50630101001
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Куйбышевский район,г. Куйбышев,50630101001
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Куйбышевский район,г. Куйбышев,50630101001
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Здвинский район,с. Здвинск,50613407101
