subject,total_cases,avg_concentration,avg_exceed_ratio,records
Кемеровская область - Кузбасс,32,65.8646875,6599.222222222223,32
Калининградская область,4,32.575,42.33333333333333,4
Новосибирская область,389,95.59423496143958,12237.577394927535,389
Свердловская область,1830,109.43908493150681,30703.3851044505,1825
Республика Хакасия,1,667.0,0.0,1
Магаданская область,60,187.11666666666667,45075.177304964534,60
Удмуртская Республика,96,130.42708333333334,0.0,96
Камчатский край,53,70.87358490566038,1722.5512820512818,53
Саратовская область,31,115.87096774193549,11436.129032258064,31
Республика Башкортостан,8,80.5,5833.333333333333,8
Ростовская область,1,100.0,10000.0,1
Еврейская автономная область,1,78.0,78000.0,1
Республика Татарстан (Татарстан),2,46.0,5200.0,2
Псковская область,35,63.18000000000001,466.51282051282055,35
Рязанская область,1,50.0,500.0,1
Нижегородская область,134,236.11723880597012,513340.97297297296,134
Воронежская область,1,1.9,0.0,1
Вологодская область,133,43.1503007518797,33923.35802469136,133
Оренбургская область,161,141.27950310559007,117139.375,161
Челябинская область,81,72.7397024691358,15646.384526315791,81
Смоленская область,568,0.41434859154929626,0.0,568
Владимирская область,2,2.0,0.0,2
Хабаровский край,297,63.177101010101005,34163.992424242424,297
Ямало-Ненецкий автономный округ (Тюменская область),227,75.73568281938326,9804.726368159205,227
Республика Марий Эл,3,47.25,0.0,3
Республика Адыгея (Адыгея),2,5683.0,500.0,2
Республика Бурятия,16,56.875,32242.85714285714,16
Томская область,1,100.0,0.0,1
Новгородская область,7,58.142857142857146,5055.888888888889,7
Московская область,46,17.961351351351357,286.5,37
Ханты-Мансийский автономный округ - Югра (Тюменская область),93,41.43032258064516,12706.382978723404,93
Кировская область,22,197.87727272727273,10619.666666666666,22
Тверская область,27,74.36666666666667,10350.0,27
Пермский край,393,742.5348600508906,43950.07530120482,393
Краснодарский край,9,3587.8777777777777,8540.0,9
Приморский край,127,41.85268503937009,6122.05649122807,127
Республика Северная Осетия-Алания,18,33.462222222222216,64000.0,18
Ленинградская область,7,14.042857142857143,5000.0,7
Омская область,253,74.51652173913048,10609.89010989011,253
Иркутская область,78,82.42313974358974,0.049,78
Архангельская область,29,98.34482758620689,15459.122807017542,29
Самарская область,133,46.955723214285726,7778.447154471544,112
Ненецкий автономный округ (Архангельская область),38,76.60526315789474,7763.636363636364,38
Забайкальский край,65,68.03646153846155,14041.935483870968,65
Красноярский край,54,77.23759259259259,44910.480341880335,54
Курганская область,375,88.99279999999999,9468.211453744494,375
Орловская область,1,0.18,0.0,1
г. Москва,8,1063.625,125153.33333333333,8
Волгоградская область,7,5.0,0.0,7
Алтайский край,36,56.347222222222236,2234.2666666666664,36
Астраханская область,19,46.31578947368421,5000.0,19
Республика Коми,69,246.29202898550727,14770.727272727272,69
Тюменская область,317,68.87135646687696,8740.321285140562,317
Республика Карелия,1,200.0,0.0,1
Сахалинская область,135,101.19779851851851,76565.71628571428,135
Ярославская область,1,100.0,0.0,1
г. Санкт-Петербург,33,40.19454545454545,5757.954545454545,33
Тульская область,31,44.24193548387097,3875.0,31
Курская область,5,57.06,41050.0,5
Амурская область,71,76.16605633802817,6567.930107526882,71
Мурманская область,657,43.537579908675795,37036.740916271716,657
Ульяновская область,21,71.71428571428571,59.33333333333333,21
Липецкая область,1,0.5,0.0,1
Чувашская Республика - Чувашия,2,87.335,0.0,2
