indicator,year,month,avg_concentration
АСПАВ,2015,8,70.0
Алюминий,2012,6,130.5
Алюминий,2015,11,85.5
Алюминий,2016,4,96.5
Алюминий,2016,6,97.2
Алюминий,2017,5,70.9
Алюминий,2017,6,80.11111111111111
Алюминий,2017,9,89.5
Алюминий,2017,10,111.5
Алюминий,2017,12,111.5
Алюминий,2018,5,65.5
Алюминий,2019,6,54.0
Алюминий,2019,10,54.0
Алюминий,2020,3,61.0
Алюминий,2020,4,55.0
Алюминий,2020,10,51.0
Алюминий,2021,2,52.0
Алюминий,2021,3,62.0
Алюминий,2021,8,90.0
Аммоний-ион,2008,7,87.33333333333333
Аммоний-ион,2008,9,55.0
Аммоний-ион,2009,8,52.0
Аммоний-ион,2010,4,61.0
Аммоний-ион,2010,5,596.6666666666666
Аммоний-ион,2010,9,54.0
Аммоний-ион,2011,2,67.0
Аммоний-ион,2012,2,51.0
Аммоний-ион,2012,10,185.0
Аммоний-ион,2013,2,62.0
Аммоний-ион,2013,6,54.5
Аммоний-ион,2014,3,59.0
Аммоний-ион,2014,4,121.22222222222223
Аммоний-ион,2014,7,52.0
Аммоний-ион,2014,8,96.5
Аммоний-ион,2014,11,54.0
Аммоний-ион,2014,12,313.57142857142856
Аммоний-ион,2015,1,605.0
Аммоний-ион,2015,2,2571.5
Аммоний-ион,2015,5,139.66666666666666
Аммоний-ион,2015,8,201.0
Аммоний-ион,2015,9,66.33333333333333
Аммоний-ион,2015,10,55.0
Аммоний-ион,2016,3,69.0
Аммоний-ион,2016,11,51.0
Аммоний-ион,2016,12,340.0
Аммоний-ион,2017,2,65.0
Аммоний-ион,2017,3,163.0
Аммоний-ион,2017,5,61.666666666666664
Аммоний-ион,2017,8,138.33333333333334
Аммоний-ион,2017,9,97.66666666666667
Аммоний-ион,2017,10,75.0
Аммоний-ион,2017,11,132.0
Аммоний-ион,2018,3,51.0
Аммоний-ион,2018,11,480.0
Аммоний-ион,2018,12,483.0
Аммоний-ион,2019,3,81.66666666666667
Аммоний-ион,2019,5,158.0
Аммоний-ион,2019,6,223.33333333333334
Аммоний-ион,2019,9,734.0
Аммоний-ион,2020,2,73.0
Аммоний-ион,2020,8,120.0
Аммоний-ион,2020,9,183.0
Аммоний-ион,2020,10,260.0
Аммоний-ион,2021,5,185.0
Аммоний-ион,2021,6,476.0
Аммоний-ион,2021,7,174.33333333333334
Аммоний-ион,2021,8,70.0
Ацетон,2020,10,7151.0
БПК5,2008,2,27.0
БПК5,2008,3,31.0
БПК5,2008,6,21.0
БПК5,2008,8,28.0
БПК5,2009,1,20.0
БПК5,2009,2,31.0
БПК5,2009,6,27.0
БПК5,2009,9,28.0
БПК5,2009,11,23.0
БПК5,2010,2,63.0
БПК5,2010,3,8.0
БПК5,2010,5,21.5
БПК5,2010,7,111.5
БПК5,2010,8,63.225
БПК5,2010,9,56.5
БПК5,2010,10,25.0
БПК5,2010,11,26.0
БПК5,2011,1,14.0
БПК5,2011,2,44.5
БПК5,2011,4,69.5
БПК5,2011,5,103.0
БПК5,2011,6,32.0
БПК5,2011,7,20.5
БПК5,2011,8,38.0
БПК5,2011,9,41.5
БПК5,2011,11,33.0
БПК5,2012,2,50.333333333333336
БПК5,2012,3,25.0
БПК5,2012,6,21.0
БПК5,2012,8,29.0
БПК5,2012,9,23.0
БПК5,2012,11,22.0
БПК5,2013,1,68.0
БПК5,2013,2,38.5
БПК5,2013,3,26.0
БПК5,2013,8,25.0
БПК5,2014,1,34.0
БПК5,2014,2,45.5
БПК5,2014,6,25.0
БПК5,2014,9,33.0
БПК5,2015,1,44.0
БПК5,2015,2,56.0
БПК5,2015,6,60.75
БПК5,2015,7,31.5
БПК5,2015,8,88.0
БПК5,2015,9,53.4
БПК5,2015,10,28.5
БПК5,2015,11,22.0
БПК5,2016,3,38.5
БПК5,2016,7,44.6
БПК5,2016,8,45.5
БПК5,2016,9,36.0
БПК5,2016,10,29.5
БПК5,2016,11,38.0
БПК5,2016,12,61.333333333333336
БПК5,2017,1,24.0
БПК5,2017,2,49.0
БПК5,2017,3,22.0
БПК5,2017,5,320.0
БПК5,2017,7,30.0
БПК5,2017,8,59.8
БПК5,2017,9,108.4
БПК5,2017,11,43.0
БПК5,2018,2,24.5
БПК5,2018,4,37.0
БПК5,2018,5,28.0
БПК5,2018,6,23.0
БПК5,2018,11,27.333333333333332
БПК5,2018,12,45.0
БПК5,2019,3,23.0
БПК5,2019,5,41.0
БПК5,2019,6,43.333333333333336
БПК5,2019,7,30.875
БПК5,2019,8,33.9375
БПК5,2019,9,36.0
БПК5,2019,10,29.0
БПК5,2019,11,58.75
БПК5,2020,1,24.0
БПК5,2020,2,29.333333333333332
БПК5,2020,3,72.0
БПК5,2020,6,32.0
БПК5,2020,8,37.5
БПК5,2020,9,34.5
БПК5,2020,10,42.5
БПК5,2020,11,28.0
БПК5,2021,2,25.666666666666668
БПК5,2021,3,25.0
БПК5,2021,4,35.0
БПК5,2021,5,25.0
БПК5,2021,6,28.0
БПК5,2021,7,58.714285714285715
БПК5,2021,8,29.0
Бенз(а)пирен,2019,8,8.666666666666666
Бенз(а)пирен,2019,9,10.666666666666666
Бенз(а)пирен,2019,10,14.333333333333334
Бенз(а)пирен,2019,11,15.333333333333334
Бенз(а)пирен,2019,12,12.0
Бенз(а)пирен,2020,1,27.0
Бенз(а)пирен,2020,3,15.84
Бенз(а)пирен,2020,4,8.333333333333334
Бенз(а)пирен,2020,6,9.0
Бенз(а)пирен,2020,7,14.0
Бенз(а)пирен,2020,8,9.333333333333334
Бенз(а)пирен,2020,9,17.666666666666668
Бенз(а)пирен,2020,10,21.0
Бенз(а)пирен,2020,11,6.0
Бенз(а)пирен,2020,12,7.0
Бенз(а)пирен,2021,1,5.0
Бенз(а)пирен,2021,2,25.0
Бенз(а)пирен,2021,3,10.0
Бенз(а)пирен,2021,4,8.25
Бенз(а)пирен,2021,5,7.0
Бенз(а)пирен,2021,6,9.666666666666666
Бенз(а)пирен,2021,7,6.5
Бензол,2020,10,62.0
Бериллий,2019,6,6.0
Ванадий,2014,8,60.5
Ванадий,2014,11,72.33333333333333
Взвешенные вещества,2008,1,110.0
Взвешенные вещества,2008,2,163.0
Взвешенные вещества,2008,4,137.44444444444446
Взвешенные вещества,2008,5,134.79166666666666
