year,month,pollution_count
2008,1,37
2008,2,36
2008,3,51
2008,4,68
2008,5,48
2008,6,21
2008,7,43
2008,8,20
2008,9,34
2008,10,18
2008,11,27
2008,12,15
2009,1,26
2009,2,36
2009,3,42
2009,4,59
2009,5,40
2009,6,34
2009,7,32
2009,8,19
2009,9,25
2009,10,29
2009,11,21
2009,12,11
2010,1,29
2010,2,56
2010,3,81
2010,4,116
2010,5,52
2010,6,30
2010,7,35
2010,8,30
2010,9,22
2010,10,30
2010,11,28
2010,12,13
2011,1,27
2011,2,50
2011,3,58
2011,4,83
2011,5,33
2011,6,23
2011,7,27
2011,8,18
2011,9,27
2011,10,31
2011,11,24
2011,12,27
2012,1,21
2012,2,59
2012,3,79
2012,4,73
2012,5,32
2012,6,47
2012,7,33
2012,8,33
2012,9,25
2012,10,32
2012,11,20
2012,12,31
2013,1,28
2013,2,59
2013,3,47
2013,4,73
2013,5,37
2013,6,35
2013,7,34
2013,8,20
2013,9,17
2013,10,24
2013,11,17
2013,12,21
2014,1,17
2014,2,46
2014,3,57
2014,4,89
2014,5,52
2014,6,47
2014,7,43
2014,8,44
2014,9,14
2014,10,35
2014,11,43
2014,12,46
2015,1,41
2015,2,46
2015,3,70
2015,4,89
2015,5,41
2015,6,46
2015,7,68
2015,8,36
2015,9,51
2015,10,33
2015,11,35
2015,12,27
2016,1,34
2016,2,63
2016,3,71
2016,4,67
2016,5,46
2016,6,21
2016,7,78
2016,8,79
2016,9,55
2016,10,30
2016,11,31
2016,12,45
2017,1,35
2017,2,44
2017,3,79
2017,4,55
2017,5,66
2017,6,42
2017,7,39
2017,8,72
2017,9,68
2017,10,43
2017,11,25
2017,12,31
2018,1,30
2018,2,47
2018,3,63
2018,4,95
2018,5,61
2018,6,52
2018,7,78
2018,8,52
2018,9,46
2018,10,33
2018,11,25
2018,12,39
2019,1,32
2019,2,48
2019,3,88
2019,4,70
2019,5,52
2019,6,76
2019,7,74
2019,8,81
2019,9,76
2019,10,50
2019,11,43
2019,12,42
2020,1,20
2020,2,42
2020,3,42
2020,4,56
2020,5,30
2020,6,43
2020,7,61
2020,8,80
2020,9,52
2020,10,79
2020,11,22
2020,12,27
2021,1,27
2021,2,79
2021,3,107
2021,4,82
2021,5,38
2021,6,21
2021,7,66
2021,8,58
