id,period,subject,municipality,settlement,oktmo,water_body,indicator,hazard_class,cnt_cases,value_min,value_max,unit,indicator,pdk_hazard_class,pdk_value,date_start,date_end,ingredient_npa,in_period,concentration_mg_l
6308,2019-08-31,Мурманская область,Городской округ город Мурманск,г. Мурманск,47701000001,р. Роста,Запах,0,1,5.0,5.0,балл,,,,,,,,
6619,2020-02-29,Мурманская область,Городской округ город Мурманск,г. Мурманск,47701000001,руч. Варничный,Запах,0,1,5.0,5.0,балл,,,,,,,,
6831,2020-06-30,Мурманская область,Городской округ город Мурманск,г. Мурманск,47701000001,руч. Варничный,Запах,0,1,5.0,5.0,балл,,,,,,,,
6872,2020-07-31,Мурманская область,Городской округ город Мурманск,г. Мурманск,47701000001,руч. Варничный,Запах,0,1,5.0,5.0,балл,,,,,,,,
6929,2020-08-31,Мурманская область,Городской округ город Мурманск,г. Мурманск,47701000001,руч. Варничный,Запах,0,1,5.0,5.0,балл,,,,,,,,
7062,2020-10-31,Кемеровская область - Кузбасс,Новокузнецкий,с. Красулино,32619432101,р. Ускат,Запах,0,1,5.0,5.0,балл,,,,,,,,
7063,2020-10-31,Кемеровская область - Кузбасс,Новокузнецкий,п. Недорезово,32619432136,р. Ускат,Запах,0,1,5.0,5.0,балл,,,,,,,,
7064,2020-10-31,Кемеровская область - Кузбасс,Прокопьевский,с. Терентьевское,32522000476,р. Ускат,Запах,0,1,5.0,5.0,балл,,,,,,,,
7139,2020-11-30,Мурманская область,Городской округ город Мурманск,г. Мурманск,47701000001,руч. Варничный,Запах,0,1,5.0,5.0,балл,,,,,,,,
7219,2021-02-28,Мурманская область,Городской округ город Мурманск,г. Мурманск,47701000001,руч. Варничный,Запах,0,1,5.0,5.0,балл,,,,,,,,
7527,2021-06-30,Мурманская область,Городской округ город Мурманск,г. Мурманск,47701000001,руч. Варничный,Запах,0,1,5.0,5.0,балл,,,,,,,,
7555,2021-07-31,Мурманская область,Городской округ город Мурманск,г. Мурманск,47701000001,руч. Варничный,Запах,0,1,5.0,5.0,балл,,,,,,,,
7615,2021-08-31,Ленинградская область,Всеволожский муниципальный район,п. Мурино,41612103001,руч. Капральев,Запах,0,1,5.0,5.0,балл,,,,,,,,
7626,2021-08-31,Мурманская область,Городской округ город Мурманск,г. Мурманск,47701000001,руч. Варничный,Запах,0,1,5.0,5.0,балл,,,,,,,,
