subject,total_cases,avg_concentration,avg_exceed_ratio,records
Нижегородская область,134,236.11723880597012,513340.97297297296,134
г. Москва,8,1063.625,125153.33333333333,8
Оренбургская область,161,141.27950310559007,117139.375,161
Еврейская автономная область,1,78.0,78000.0,1
Сахалинская область,135,101.19779851851851,76565.71628571428,135
Республика Северная Осетия-Алания,18,33.462222222222216,64000.0,18
Магаданская область,60,187.11666666666667,45075.177304964534,60
Красноярский край,54,77.23759259259259,44910.480341880335,54
Пермский край,393,742.5348600508906,43950.07530120482,393
Курская область,5,57.06,41050.0,5
