subject,total_cases,avg_concentration,avg_exceed_ratio,records
Свердловская область,1830,109.43908493150681,30703.3851044505,1825
Мурманская область,657,43.537579908675795,37036.740916271716,657
Смоленская область,568,0.41434859154929626,0.0,568
Пермский край,393,742.5348600508906,43950.07530120482,393
Новосибирская область,389,95.59423496143958,12237.577394927535,389
Курганская область,375,88.99279999999999,9468.211453744494,375
Тюменская область,317,68.87135646687696,8740.321285140562,317
Хабаровский край,297,63.177101010101005,34163.992424242424,297
Омская область,253,74.51652173913048,10609.89010989011,253
Ямало-Ненецкий автономный округ (Тюменская область),227,75.73568281938326,9804.726368159205,227
