water_body,total_cases,avg_concentration,avg_exceed_ratio,records
р. Вязьма,544,0.40229779411764743,0.0,544
р. Исеть,355,93.2221875,8564.96,352
р. Айва,214,80.82383177570092,40985.71428571428,214
р. Пышма,209,81.97913875598086,7897.105263157895,209
р. Омь,200,80.04590000000002,10379.927536231884,200
р. Северушка,189,221.87301587301587,22447.31182795699,189
р. Тура,183,50.2075956284153,7297.115384615385,183
р. Тобол,166,83.31927710843374,8338.961038961039,166
р. Блява,159,141.1320754716981,117811.32075471699,159
р. Нюдуай,151,64.1766225165563,76931.68316831683,151
