water_body,total_cases,avg_concentration,avg_exceed_ratio,records
р. Комаровка,6,39.66695,2966.6723333333334,6
оз. Ледовое,1,9.78,0.0,1
р. Белая,77,161.15844155844158,11829.166666666666,77
р. Вологда,1,1.77,0.0,1
р. Нижняя Тунгуска,2,83.0,83000.0,2
р. Раковка,5,52.12041999999999,4943.7605,5
оз. Ханка,2,73.0,1825.0,2
р. Теша,1,66.0,0.0,1
оз. Шелюгино,15,37.552,6188.888888888889,15
р. Иньва,4,68.0,0.0,4
р. Каргат,20,219.9,27315.263157894737,20
р. Куда,3,74.0,0.0,3
р. Берелех,2,189.5,189500.0,2
р. Нижний Сузун,1,756.0,756000.0,1
оз. Сартлан,1,2.0,0.0,1
р. Нелаза,4,280.54999999999995,1060.0,4
вдхр. Нижне-Железянское (р. Железянка),1,69.0,69000.0,1
р. Рязанка,59,387.0849152542373,515769.9777777779,59
р. Сива,27,113.74074074074075,0.0,27
р. Седью,1,89.0,8900.0,1
р. Черная,27,44.81888888888889,11612.631578947368,27
р. Надым,26,52.41538461538461,6350.0,26
р. Турья,12,69.16666666666666,6232.5,12
р. Талица,4,80.25,4012.5,4
р. Медвенка,1,64.0,0.0,1
р. Борзовка,2,387.885,516.6666666666666,2
р. Мезень,9,177.66666666666666,17766.666666666668,9
р. Модонкуль,13,59.0,34215.38461538462,13
вдхр. Братское,25,84.16,0.0,25
р. Промежица,2,92.0,0.0,2
р. Колыма (вдхр. Колымское),1,5.0,833.3333333333334,1
болото Молебское,1,110.0,73.33333333333333,1
р. Аба,6,85.33333333333333,0.0,6
прот. из оз. Куэтс-Ярви,8,14.75,6700.0,8
р. Песчанка,1,69.0,0.0,1
р. Норильская,2,100.0,0.0,2
р. Чахловица,5,244.46000000000004,3148.6666666666665,5
р. Васюган,1,100.0,0.0,1
вдхр. Черноисточинское на р. Черная,1,2.0,0.0,1
р. Обва,7,97.42857142857143,0.0,7
р. Реж,4,74.0,0.0,4
р. Охинка,108,98.38611111111112,55633.333333333336,108
р. Иня (нижняя),4,63.0,23244.44444444445,4
р. Кумужья,13,170.3846153846154,158546.15384615384,13
оз. Иткуль,3,58.60666666666666,8750.0,3
руч. Южный (приток р. Тальтия),1,87.0,87000.0,1
р. Пивоварка (приток р. Барнаулка),2,59.5,0.0,2
р. Рогатка,4,205.75,175150.0,4
р. Малая Кушва,3,93.0,9300.0,1
р. Вязьма,544,0.40229779411764743,0.0,544
р. Оккервиль,1,83.0,2075.0,1
р. Тея,4,86.75,59975.0,4
р. Вах,1,84.0,84000.0,1
оз. Андреевское,3,74.33333333333333,7433.333333333333,3
р. Березовка,43,108.5813953488372,94750.0,43
вдхр. Аргазинское (р. Миасс),1,85.0,8500.0,1
р. Омчак,12,308.8333333333333,57066.666666666664,12
оз. Убинское,1,1.8,0.0,1
р. Елшанка,2,153.0,10300.0,2
р. Дачная,64,15.062187499999999,0.0,64
р. Ангара,25,92.8,55000.0,25
р. Кубань,1,1528.0,0.0,1
р. Ляля,35,81.21714285714286,89074.07407407407,35
р. Серга,2,124.0,0.0,2
р. Сисим,4,123.0,121958.33333333334,4
р. Катунь,1,67.0,6700.0,1
р. Холдоми,25,78.28,71116.0,25
р. Череха,1,0.6,0.0,1
оз. Средний Кабан,1,52.0,5200.0,1
р. Сысерть,2,67.0,0.0,2
р. Медведица,1,287.0,28700.0,1
р. Поцелуйка,5,101.0,134.0,5
р. Упа,3,72.83333333333333,3641.6666666666665,3
р. Полуденка,3,70.33333333333333,43333.333333333336,3
пруд Красотка на р. Сосновка,5,43.8,42.0,5
оз. Большое Кызыкульское,12,44.402499999999996,1175.0444444444445,12
р. Синячиха,3,38.20666666666667,0.0,3
р. Амазар,1,647.0,0.0,1
р. Бурея,13,90.38461538461539,2927.777777777778,13
руч. Дальдыкан,1,100.0,0.0,1
вдхр. Шатское,1,67.0,0.0,1
руч. Безымянный,11,110.81818181818181,9572.222222222223,11
