indicator,avg_concentration,total_cases
Марганец,41.10417721518987,2615
Нефть и нефтепродукты,40.149171270718234,277
Медь,39.92568578553616,591
Железо общее,39.907888040712464,716
Фенол,39.54666666666667,85
Ксантогенат бутиловый,37.0,1
Взвешенные вещества,33.683608069164265,10621
Метанол,31.5,10
Никель,30.530388692579507,795
Лигносульфонаты,29.113333333333333,64
Цинк,23.894973544973542,1411
Дитиофосфат крезиловый,21.056818181818183,255
Аммоний-ион,20.62883928571429,2223
Алюминий,19.95020746887967,686
Фосфаты,19.627329192546583,229
Нитрит-ионы,19.573079906904578,3686
ХПК,18.553012048192773,353
АСПАВ,17.604545454545455,25
Натрий,17.444444444444443,15
Лигнин сульфатный,16.547169811320753,70
Хлориды,15.317073170731707,89
Фториды,15.116279069767442,74
Кобальт,14.0,2
Хром (VI),14.0,5
Магний,13.054054054054054,104
Сульфаты,12.567582417582418,233
Минерализация,12.5,3
БПК5,11.653534946236558,1515
Бор,11.0,1
Водородный показатель (pH),6.988571428571427,38
Сульфиды и сероводород,5.284605000000001,87
Бенз(а)пирен,3.9909090909090907,16
Свинец,3.976923076923077,106
ГХЦГ,3.891891891891892,55
Мышьяк,3.8461538461538463,14
Кадмий,3.792452830188679,84
Формальдегид,3.7785714285714285,38
Ртуть,3.75859375,352
ДДТ,3.7142857142857144,16
Молибден,3.693150684931507,142
Нитрат-ионы,3.5,2
Растворенный кислород,2.578550185873603,813
Дихлорфенол,2.0,1
