indicator,avg_concentration,count_observations
Марганец,41.10417721518987,1185
Нефть и нефтепродукты,40.149171270718234,181
Медь,39.92568578553616,401
Железо общее,39.907888040712464,393
Фенол,39.54666666666667,75
Ксантогенат бутиловый,37.0,1
Взвешенные вещества,33.683608069164265,1735
Метанол,31.5,6
Никель,30.530388692579507,283
Лигносульфонаты,29.113333333333333,60
Цинк,23.894973544973542,756
Дитиофосфат крезиловый,21.056818181818183,88
Аммоний-ион,20.62883928571429,896
Алюминий,19.95020746887967,241
Фосфаты,19.627329192546583,161
Нитрит-ионы,19.573079906904578,1289
ХПК,18.553012048192773,249
АСПАВ,17.604545454545455,22
Натрий,17.444444444444443,9
Лигнин сульфатный,16.547169811320753,53
Хлориды,15.317073170731707,41
Фториды,15.116279069767442,43
Кобальт,14.0,2
Хром (VI),14.0,4
Магний,13.054054054054054,37
Сульфаты,12.567582417582418,182
Минерализация,12.5,2
БПК5,11.653534946236558,744
Бор,11.0,1
Водородный показатель (pH),6.988571428571427,35
Сульфиды и сероводород,5.284605000000001,60
Бенз(а)пирен,3.9909090909090907,11
Свинец,3.976923076923077,65
ГХЦГ,3.891891891891892,37
Мышьяк,3.8461538461538463,13
Кадмий,3.792452830188679,53
Формальдегид,3.7785714285714285,28
Ртуть,3.75859375,128
ДДТ,3.7142857142857144,14
Молибден,3.693150684931507,73
Нитрат-ионы,3.5,2
Растворенный кислород,2.578550185873603,538
Дихлорфенол,2.0,1
