indicator,avg_concentration
Марганец,41.10417721518987
Нефть и нефтепродукты,40.149171270718234
Медь,39.92568578553616
Железо общее,39.907888040712464
Фенол,39.54666666666667
Ксантогенат бутиловый,37.0
Взвешенные вещества,33.683608069164265
Метанол,31.5
Никель,30.530388692579507
Лигносульфонаты,29.113333333333333
Цинк,23.894973544973542
Дитиофосфат крезиловый,21.056818181818183
Аммоний-ион,20.62883928571429
Алюминий,19.95020746887967
Фосфаты,19.627329192546583
Нитрит-ионы,19.573079906904578
ХПК,18.553012048192773
АСПАВ,17.604545454545455
Натрий,17.444444444444443
Лигнин сульфатный,16.547169811320753
Хлориды,15.317073170731707
Фториды,15.116279069767442
Кобальт,14.0
Хром (VI),14.0
Магний,13.054054054054054
Сульфаты,12.567582417582418
Минерализация,12.5
БПК5,11.653534946236558
Бор,11.0
Водородный показатель (pH),6.988571428571427
Сульфиды и сероводород,5.284605000000001
Бенз(а)пирен,3.9909090909090907
Свинец,3.976923076923077
ГХЦГ,3.891891891891892
Мышьяк,3.8461538461538463
Кадмий,3.792452830188679
Формальдегид,3.7785714285714285
Ртуть,3.75859375
ДДТ,3.7142857142857144
Молибден,3.693150684931507
Нитрат-ионы,3.5
Растворенный кислород,2.578550185873603
Дихлорфенол,2.0
