id,period,okato,subject,river_basin,indicator,hazard_class,cnt_cases,value_min,value_max,unit,indicator,pdk_hazard_class,pdk_value,date_start,date_end,ingredient_npa,in_period,concentration_mg_l
3,2008-01-31,19000000000,Вологодская область,р. Северная Двина,БПК5,0,1,13.0,13.0,ПДК,,,,,,,,
4,2008-01-31,19000000000,Вологодская область,р. Северная Двина,ХПК,0,1,20.0,20.0,ПДК,,,,,,,,
9,2008-01-31,33000000000,Кировская область,р. Волга,Взвешенные вещества,0,3,10.0,45.0,ПДК,,,,,,,,
10,2008-01-31,37000000000,Курганская область,р. Обь,Взвешенные вещества,0,2,10.0,18.0,ПДК,,,,,,,,
21,2008-01-31,22000000000,Нижегородская область,р. Волга,Взвешенные вещества,0,1,18.0,18.0,ПДК,,,,,,,,
26,2008-01-31,57000000000,Пермский край,р. Волга,Взвешенные вещества,0,2,13.0,16.0,ПДК,,,,,,,,
28,2008-01-31,5000000000,Приморский край,р. Амур,БПК5,0,1,19.0,19.0,ПДК,,,,,,,,
38,2008-01-31,65000000000,Свердловская область,р. Волга,Взвешенные вещества,0,4,11.0,21.0,ПДК,,,,,,,,
46,2008-01-31,65000000000,Свердловская область,р. Обь,Взвешенные вещества,0,12,12.0,25.0,ПДК,,,,,,,,
52,2008-01-31,75000000000,Челябинская область,р. Обь,Взвешенные вещества,0,1,23.0,23.0,ПДК,,,,,,,,
63,2008-02-29,19000000000,Вологодская область,р. Северная Двина,БПК5,0,1,12.0,12.0,ПДК,,,,,,,,
64,2008-02-29,19000000000,Вологодская область,р. Северная Двина,ХПК,0,1,25.0,25.0,ПДК,,,,,,,,
74,2008-02-29,22000000000,Нижегородская область,р. Волга,Взвешенные вещества,0,2,10.0,18.0,ПДК,,,,,,,,
77,2008-02-29,57000000000,Пермский край,р. Волга,Взвешенные вещества,0,3,26.0,50.0,ПДК,,,,,,,,
84,2008-02-29,5000000000,Приморский край,р. Амур,БПК5,0,3,6.0,19.0,ПДК,,,,,,,,
92,2008-02-29,5000000000,Приморский край,"малые реки, озера, водохранилища",БПК5,0,1,18.0,18.0,ПДК,,,,,,,,
96,2008-02-29,36000000000,Самарская область,р. Волга,ХПК,0,1,19.0,19.0,ПДК,,,,,,,,
97,2008-02-29,36000000000,Самарская область,р. Волга,БПК5,0,1,34.0,34.0,ПДК,,,,,,,,
100,2008-02-29,65000000000,Свердловская область,р. Волга,Взвешенные вещества,0,2,14.0,43.0,ПДК,,,,,,,,
101,2008-02-29,65000000000,Свердловская область,р. Обь,Взвешенные вещества,0,9,10.0,41.0,ПДК,,,,,,,,
108,2008-02-29,66000000000,Смоленская область,р. Днепр,БПК5,0,1,6.0,6.0,ПДК,,,,,,,,
