id,period,okato,subject,river_basin,indicator,hazard_class,cnt_cases,value_min,value_max,unit,indicator,pdk_hazard_class,pdk_value,date_start,date_end,ingredient_npa,in_period,concentration_mg_l
1,2008-01-31,14000000000,Белгородская область,р. Дон,Нитрит-ионы,4э,4,10.0,15.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.3
2,2008-01-31,19000000000,Вологодская область,р. Волга,Нитрит-ионы,4э,1,38.0,38.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.76
3,2008-01-31,19000000000,Вологодская область,р. Северная Двина,БПК5,0,1,13.0,13.0,ПДК,,,,,,,,
4,2008-01-31,19000000000,Вологодская область,р. Северная Двина,ХПК,0,1,20.0,20.0,ПДК,,,,,,,,
5,2008-01-31,19000000000,Вологодская область,р. Северная Двина,Лигносульфонаты,4,1,35.0,35.0,ПДК,Лигносульфонаты,4,2.0,2016-12-13,2099-12-31,Минсельхоз-2016,false,70.0
6,2008-01-31,19000000000,Вологодская область,р. Северная Двина,Нитрит-ионы,4э,2,11.0,13.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.26
7,2008-01-31,76000000000,Забайкальский край,р. Амур,Нитрит-ионы,4э,2,11.0,18.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.36
8,2008-01-31,76000000000,Забайкальский край,р. Амур,Аммоний-ион,4,1,12.0,12.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,18.0
9,2008-01-31,33000000000,Кировская область,р. Волга,Взвешенные вещества,0,3,10.0,45.0,ПДК,,,,,,,,
10,2008-01-31,37000000000,Курганская область,р. Обь,Взвешенные вещества,0,2,10.0,18.0,ПДК,,,,,,,,
11,2008-01-31,37000000000,Курганская область,р. Обь,Марганец,4,4,32.0,48.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.48
12,2008-01-31,41000000000,Ленинградская область,"малые реки, озера, водохранилища",Марганец,4,2,32.0,35.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.35000000000000003
13,2008-01-31,46000000000,Московская область,р. Волга,Аммоний-ион,4,2,13.0,30.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,45.0
14,2008-01-31,46000000000,Московская область,р. Волга,Нитрит-ионы,4э,11,11.0,32.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.64
15,2008-01-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Сульфаты,4,1,13.0,13.0,ПДК,Сульфаты,4,500.0,2003-04-30,2021-01-27,СанПиН-2003,true,6500.0
16,2008-01-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Медь,3,1,40.0,40.0,ПДК,Медь,3,1.0,2003-04-30,2021-01-27,СанПиН-2003,true,40.0
17,2008-01-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Ксантогенат бутиловый,4,1,37.0,37.0,ПДК,Ксантогенат бутиловый,4,0.001,2003-04-30,2021-01-27,СанПиН-2003,true,0.037
18,2008-01-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Никель,3,3,10.0,26.0,ПДК,Никель,3,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.26
19,2008-01-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Нитрит-ионы,4э,1,24.0,24.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.48
20,2008-01-31,22000000000,Нижегородская область,р. Волга,Сульфаты,4,1,11.0,11.0,ПДК,Сульфаты,4,500.0,2003-04-30,2021-01-27,СанПиН-2003,true,5500.0
21,2008-01-31,22000000000,Нижегородская область,р. Волга,Взвешенные вещества,0,1,18.0,18.0,ПДК,,,,,,,,
