id,period,okato,subject,river_basin,indicator,hazard_class,cnt_cases,value_min,value_max,unit,indicator,pdk_hazard_class,pdk_value,date_start,date_end,ingredient_npa,in_period,concentration_mg_l
142,2008-03-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,9.7,9.7,pH,,,,,,,,
162,2008-03-31,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.05,4.05,pH,,,,,,,,
293,2008-05-31,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.36,4.36,pH,,,,,,,,
718,2009-02-28,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.76,4.76,pH,,,,,,,,
774,2009-03-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,9.7,9.7,pH,,,,,,,,
803,2009-03-31,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.72,4.72,pH,,,,,,,,
844,2009-04-30,47000000000,Мурманская область,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,9.7,9.7,pH,,,,,,,,
911,2009-05-31,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.48,4.48,pH,,,,,,,,
1019,2009-07-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,9.6,9.6,pH,,,,,,,,
1200,2009-10-31,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.48,4.48,pH,,,,,,,,
2093,2011-01-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,9.6,9.6,pH,,,,,,,,
2227,2011-03-31,4000000000,Красноярский край,р. Енисей,Водородный показатель (pH),0,1,9.56,9.56,pH,,,,,,,,
2331,2011-04-30,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.7,4.7,pH,,,,,,,,
2510,2011-07-31,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.02,4.02,pH,,,,,,,,
3358,2012-08-31,65000000000,Свердловская область,р. Обь,Водородный показатель (pH),0,1,9.54,9.54,pH,,,,,,,,
3700,2013-03-31,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.0,4.0,pH,,,,,,,,
4485,2014-05-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,9.6,9.6,pH,,,,,,,,
5186,2015-04-30,65000000000,Свердловская область,р. Тобол,Водородный показатель (pH),0,1,9.6,9.6,pH,,,,,,,,
5254,2015-05-31,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.2,4.2,pH,,,,,,,,
5779,2016-01-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,9.7,9.7,pH,,,,,,,,
5973,2016-04-30,47000000000,Мурманская область,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,9.7,9.7,pH,,,,,,,,
6715,2017-03-31,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.5,4.5,pH,,,,,,,,
6768,2017-04-30,47000000000,Мурманская область,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,9.6,9.6,pH,,,,,,,,
7592,2018-05-31,37000000000,Курганская область,р. Тобол,Водородный показатель (pH),0,1,9.7,9.7,pH,,,,,,,,
7613,2018-05-31,65000000000,Свердловская область,р. Кама,Водородный показатель (pH),0,1,9.7,9.7,pH,,,,,,,,
8170,2019-02-28,47000000000,Мурманская область,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,9.7,9.7,pH,,,,,,,,
8340,2019-04-30,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.8,4.8,pH,,,,,,,,
8421,2019-05-31,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.8,4.8,pH,,,,,,,,
8775,2019-10-31,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,3,4.5,4.8,pH,,,,,,,,
9041,2020-03-31,65000000000,Свердловская область,р. Кама,Водородный показатель (pH),0,1,9.6,9.6,pH,,,,,,,,
9220,2020-06-30,47000000000,Мурманская область,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,9.6,9.6,pH,,,,,,,,
9443,2020-09-30,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.7,4.7,pH,,,,,,,,
9800,2021-03-31,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.05,4.05,pH,,,,,,,,
9877,2021-04-30,86000000000,Республика Карелия,"малые реки, озера, водохранилища",Водородный показатель (pH),0,2,4.7,4.78,pH,,,,,,,,
9956,2021-05-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,4.5,4.5,pH,,,,,,,,
