subject,total_cases,avg_concentration,avg_exceed_ratio,records
Кемеровская область - Кузбасс,94,26.770714285714284,3086.875,56
Республика Саха (Якутия),37,25.59259259259259,9005.263157894737,27
Калининградская область,5,23.066666666666666,565.0,3
Новосибирская область,826,25.152239454094296,2999.3174927953896,403
Свердловская область,5195,28.046887159533075,6419.0477104377105,1028
Республика Хакасия,1,24.0,0.0,1
Магаданская область,138,43.538383838383844,11931.666666666664,99
Удмуртская Республика,455,25.586107382550335,611.6,149
Камчатский край,118,35.84943396226415,13913.10606060606,53
Саратовская область,23,35.3125,5833.822222222223,16
Республика Башкортостан,33,38.2235294117647,5418.75,17
Ростовская область,18,12.00181818181818,1453.8333333333335,11
Калужская область,1,6.0,0.0,1
Республика Татарстан (Татарстан),43,14.614285714285714,830.9333333333335,35
Ставропольский край,5,26.75,1062.5,4
Псковская область,56,23.36,1325.3333333333335,25
Рязанская область,349,26.618844221105537,767.7637148594376,199
Нижегородская область,1858,23.894202898550724,1040.4664581081079,345
Воронежская область,2,2.36,0.0,1
Республика Мордовия,47,17.434782608695652,457.6333333333333,23
Вологодская область,384,19.87192878338278,7270.858065268066,337
Брянская область,1,5.0,0.0,1
Оренбургская область,199,25.89830508474576,11433.472061657034,177
Челябинская область,2005,21.96707650273224,5315.459234828496,732
Смоленская область,82,8.032835820895523,82.43518518518519,67
Владимирская область,154,19.941507936507936,2082.880416666666,126
Костромская область,5,11.16,292.5,5
Хабаровский край,982,26.93974683544304,8591.447821681862,395
Ямало-Ненецкий автономный округ (Тюменская область),191,31.084444444444447,2713.684210526316,90
Республика Марий Эл,113,18.9784375,512.7333333333333,64
Пензенская область,15,15.0,750.0,7
Республика Бурятия,49,16.352941176470587,765.9374999999999,34
Республика Адыгея (Адыгея),2,37.0,0.0,2
Томская область,9,24.900000000000002,875.0,6
Новгородская область,27,31.466666666666665,3335.8974358974365,15
Московская область,3723,20.728901830282865,1147.0581501831502,601
Белгородская область,328,17.59926470588235,847.1318407960198,136
Ханты-Мансийский автономный округ - Югра (Тюменская область),152,28.306037735849053,4214.682926829269,53
Кировская область,1047,23.275407725321887,2824.76052631579,233
Тверская область,79,25.966363636363635,17798.574712643676,44
Чеченская Республика,8,3546.8333333333335,0.0,3
Пермский край,1203,28.642200488997556,3125.1581862745093,409
Краснодарский край,37,21.2125,655.4722222222223,24
Приморский край,1142,23.009596996996994,2707.52887643678,666
Ленинградская область,153,21.556862745098037,2707.318181818182,102
Республика Северная Осетия-Алания,365,18.19212643678161,7561.546666666667,174
Омская область,166,30.692444444444448,4601.9607843137255,90
Кабардино-Балкарская Республика,11,18.768333333333334,9650.0,6
Иркутская область,829,23.65938864628821,74.28571428571429,229
Архангельская область,75,18.56947368421053,2720.7153645833337,57
Самарская область,247,16.746756756756756,2203.192454394694,148
Ненецкий автономный округ (Архангельская область),14,36.1125,1665.0,8
Забайкальский край,194,23.223333333333333,2768.8086419753085,144
Ивановская область,9,9.592,453.5555555555556,5
Красноярский край,420,25.635857142857144,8914.869114331723,224
Республика Алтай,3,42.333333333333336,22250.0,3
Курганская область,807,31.322183908045975,3096.9635620915037,261
Орловская область,1,19.0,12.666666666666666,1
г. Москва,208,16.966666666666665,911.7608695652176,120
Волгоградская область,7,18.166666666666668,0.0,6
Алтайский край,33,24.905,1017.5926388888889,20
Астраханская область,282,6.383098591549295,3817.3076923076924,71
Тамбовская область,23,9.808,665.0,15
Республика Коми,83,23.433773584905662,3502.9166666666665,53
Тюменская область,578,30.32978354978355,4235.045751633987,231
Республика Карелия,41,14.315277777777778,778.3921568627451,36
Сахалинская область,128,19.387070707070706,3262.432112676056,99
Ярославская область,9,25.866666666666667,13212.222222222224,9
г. Санкт-Петербург,176,29.120348837209303,3745.0234741784034,86
Тульская область,509,16.3568152866242,632.1031790123458,314
Курская область,10,10.68888888888889,427.16666666666663,9
Амурская область,293,26.222945205479455,4913.0152777777785,146
Мурманская область,1554,22.065211523687584,9099.22245537635,781
Ульяновская область,33,19.674,678.8777777777779,20
Чувашская Республика - Чувашия,16,11.429999999999998,366.4444444444445,7
