indicator,year,month,avg_concentration
АСПАВ,2009,2,22.0
АСПАВ,2009,6,21.0
АСПАВ,2009,8,40.0
АСПАВ,2009,11,11.0
АСПАВ,2010,2,25.0
АСПАВ,2010,5,14.0
АСПАВ,2010,11,16.0
АСПАВ,2011,2,25.0
АСПАВ,2011,4,12.0
АСПАВ,2011,8,13.0
АСПАВ,2012,2,17.3
АСПАВ,2012,11,13.0
АСПАВ,2013,6,17.0
АСПАВ,2013,8,20.0
АСПАВ,2014,10,12.0
АСПАВ,2015,6,2.0
АСПАВ,2016,9,10.0
АСПАВ,2018,9,13.0
АСПАВ,2018,11,17.0
АСПАВ,2021,2,15.0
АСПАВ,2021,4,26.0
Алюминий,2008,4,18.5
Алюминий,2008,5,15.0
Алюминий,2008,7,13.5
Алюминий,2009,4,19.5
Алюминий,2009,5,10.5
Алюминий,2009,6,16.5
Алюминий,2009,7,11.5
Алюминий,2009,11,14.5
Алюминий,2009,12,17.0
Алюминий,2010,2,10.0
Алюминий,2010,4,30.5
Алюминий,2010,5,14.0
Алюминий,2010,6,11.0
Алюминий,2010,8,12.0
Алюминий,2010,11,18.0
Алюминий,2010,12,18.0
Алюминий,2011,4,12.5
Алюминий,2011,5,48.0
Алюминий,2011,7,23.0
Алюминий,2011,8,19.0
Алюминий,2012,4,22.0
Алюминий,2012,5,12.5
Алюминий,2012,6,11.0
Алюминий,2012,7,10.0
Алюминий,2012,8,10.333333333333334
Алюминий,2012,12,10.0
Алюминий,2013,4,14.0
Алюминий,2013,5,13.5
Алюминий,2013,6,22.0
Алюминий,2013,8,13.0
Алюминий,2013,12,13.0
Алюминий,2014,4,19.5
Алюминий,2014,5,15.0
Алюминий,2014,9,19.0
Алюминий,2014,10,23.5
Алюминий,2014,11,18.5
Алюминий,2014,12,20.0
Алюминий,2015,2,23.0
Алюминий,2015,3,10.0
Алюминий,2015,4,11.0
Алюминий,2015,5,29.5
Алюминий,2015,6,18.714285714285715
Алюминий,2015,7,14.5
Алюминий,2015,8,25.166666666666668
Алюминий,2015,9,14.8
Алюминий,2015,10,15.0
Алюминий,2015,11,24.333333333333332
Алюминий,2015,12,16.0
Алюминий,2016,2,35.0
Алюминий,2016,3,25.0
Алюминий,2016,4,17.666666666666668
Алюминий,2016,5,34.0
Алюминий,2016,6,38.0
Алюминий,2016,7,25.0
Алюминий,2016,8,32.0
Алюминий,2016,9,20.25
Алюминий,2016,10,20.5
Алюминий,2016,11,28.5
Алюминий,2017,2,35.0
Алюминий,2017,4,23.0
Алюминий,2017,5,16.4
Алюминий,2017,6,17.0
Алюминий,2017,7,22.666666666666668
Алюминий,2017,8,30.0
Алюминий,2017,9,15.0
Алюминий,2017,10,19.0
Алюминий,2017,11,18.5
Алюминий,2018,4,33.0
Алюминий,2018,5,27.5
Алюминий,2018,6,18.0
Алюминий,2018,7,15.0
Алюминий,2018,8,23.333333333333332
Алюминий,2018,9,21.5
Алюминий,2018,11,13.333333333333334
Алюминий,2018,12,46.0
Алюминий,2019,2,19.0
Алюминий,2019,4,21.666666666666668
Алюминий,2019,5,21.0
Алюминий,2019,6,14.875
Алюминий,2019,7,13.5
Алюминий,2019,8,19.0
Алюминий,2019,9,12.333333333333334
Алюминий,2019,10,30.0
Алюминий,2019,11,15.8
Алюминий,2019,12,32.0
Алюминий,2020,3,10.5
Алюминий,2020,4,25.666666666666668
Алюминий,2020,5,20.5
Алюминий,2020,7,17.333333333333332
Алюминий,2020,8,14.5
Алюминий,2020,9,17.5
Алюминий,2020,10,18.0
Алюминий,2020,11,13.666666666666666
Алюминий,2020,12,27.333333333333332
Алюминий,2021,1,27.5
Алюминий,2021,3,15.0
Алюминий,2021,4,17.666666666666668
Алюминий,2021,5,28.0
Алюминий,2021,6,31.75
Алюминий,2021,7,11.5
Аммоний-ион,2008,1,17.77777777777778
Аммоний-ион,2008,2,15.85
Аммоний-ион,2008,3,16.77777777777778
Аммоний-ион,2008,4,24.0
Аммоний-ион,2008,5,30.6
Аммоний-ион,2008,6,18.666666666666668
Аммоний-ион,2008,7,17.333333333333332
Аммоний-ион,2008,8,11.0
Аммоний-ион,2008,9,20.666666666666668
Аммоний-ион,2008,10,15.333333333333334
Аммоний-ион,2008,11,14.128
Аммоний-ион,2008,12,16.333333333333332
Аммоний-ион,2009,1,14.833333333333334
Аммоний-ион,2009,2,17.285714285714285
Аммоний-ион,2009,3,14.2
Аммоний-ион,2009,4,16.25
Аммоний-ион,2009,5,28.5
Аммоний-ион,2009,6,19.333333333333332
Аммоний-ион,2009,7,20.666666666666668
Аммоний-ион,2009,8,13.0
Аммоний-ион,2009,9,13.0
Аммоний-ион,2009,10,12.5
Аммоний-ион,2009,11,16.0
Аммоний-ион,2009,12,13.0
Аммоний-ион,2010,1,14.875
Аммоний-ион,2010,2,21.0
Аммоний-ион,2010,3,13.580000000000002
Аммоний-ион,2010,4,15.5
Аммоний-ион,2010,5,15.5
Аммоний-ион,2010,6,19.391666666666666
Аммоний-ион,2010,7,24.55
Аммоний-ион,2010,8,21.75
Аммоний-ион,2010,9,26.75
Аммоний-ион,2010,10,17.5
Аммоний-ион,2010,11,19.4
Аммоний-ион,2010,12,11.0
Аммоний-ион,2011,1,15.8
Аммоний-ион,2011,2,23.7
Аммоний-ион,2011,3,16.583333333333332
Аммоний-ион,2011,4,16.0
Аммоний-ион,2011,5,25.0
Аммоний-ион,2011,6,22.0
Аммоний-ион,2011,7,16.375
Аммоний-ион,2011,8,20.714285714285715
Аммоний-ион,2011,9,13.571428571428571
Аммоний-ион,2011,10,14.0
Аммоний-ион,2011,11,22.375
Аммоний-ион,2011,12,13.666666666666666
Аммоний-ион,2012,1,17.4
Аммоний-ион,2012,2,20.886363636363637
Аммоний-ион,2012,3,22.09090909090909
Аммоний-ион,2012,4,17.555555555555557
Аммоний-ион,2012,5,12.5
Аммоний-ион,2012,6,30.5
Аммоний-ион,2012,7,20.0
Аммоний-ион,2012,8,18.75
Аммоний-ион,2012,9,23.4
Аммоний-ион,2012,10,31.0
Аммоний-ион,2012,11,24.333333333333332
Аммоний-ион,2012,12,29.0
Аммоний-ион,2013,1,22.4
Аммоний-ион,2013,2,21.0
Аммоний-ион,2013,3,26.75
Аммоний-ион,2013,4,16.714285714285715
Аммоний-ион,2013,5,21.75
Аммоний-ион,2013,6,22.666666666666668
Аммоний-ион,2013,7,21.22222222222222
Аммоний-ион,2013,8,32.5
Аммоний-ион,2013,9,35.0
Аммоний-ион,2013,10,32.0
Аммоний-ион,2013,11,36.5
Аммоний-ион,2013,12,16.666666666666668
Аммоний-ион,2014,1,21.333333333333332
Аммоний-ион,2014,2,22.714285714285715
Аммоний-ион,2014,3,22.666666666666668
Аммоний-ион,2014,4,29.0
Аммоний-ион,2014,5,26.4
Аммоний-ион,2014,6,21.333333333333332
Аммоний-ион,2014,7,28.0
Аммоний-ион,2014,8,21.0
Аммоний-ион,2014,9,30.375
Аммоний-ион,2014,10,27.166666666666668
Аммоний-ион,2014,11,24.875
Аммоний-ион,2014,12,33.375
Аммоний-ион,2015,1,26.714285714285715
Аммоний-ион,2015,2,18.31923076923077
Аммоний-ион,2015,3,21.181818181818183
Аммоний-ион,2015,4,26.0
Аммоний-ион,2015,5,23.25
Аммоний-ион,2015,6,16.5
Аммоний-ион,2015,7,14.25
Аммоний-ион,2015,8,21.666666666666668
Аммоний-ион,2015,9,25.0
Аммоний-ион,2015,10,20.5
Аммоний-ион,2015,11,30.857142857142858
Аммоний-ион,2015,12,19.4
Аммоний-ион,2016,1,27.833333333333332
Аммоний-ион,2016,2,24.77777777777778
Аммоний-ион,2016,3,18.857142857142858
Аммоний-ион,2016,4,17.0
Аммоний-ион,2016,5,26.0
Аммоний-ион,2016,6,25.6
Аммоний-ион,2016,7,27.2
Аммоний-ион,2016,8,20.75
Аммоний-ион,2016,9,15.0
Аммоний-ион,2016,10,17.555555555555557
Аммоний-ион,2016,11,21.833333333333332
Аммоний-ион,2016,12,21.833333333333332
Аммоний-ион,2017,1,20.857142857142858
Аммоний-ион,2017,2,25.428571428571427
Аммоний-ион,2017,3,19.5
Аммоний-ион,2017,4,18.0
Аммоний-ион,2017,5,18.666666666666668
Аммоний-ион,2017,6,20.0
Аммоний-ион,2017,7,21.25
Аммоний-ион,2017,8,18.142857142857142
Аммоний-ион,2017,9,27.0
Аммоний-ион,2017,10,16.25
Аммоний-ион,2017,11,29.8
Аммоний-ион,2017,12,21.0
Аммоний-ион,2018,1,18.666666666666668
Аммоний-ион,2018,2,22.857142857142858
Аммоний-ион,2018,3,19.333333333333332
Аммоний-ион,2018,4,15.0
Аммоний-ион,2018,5,15.333333333333334
Аммоний-ион,2018,6,15.25
Аммоний-ион,2018,7,11.5
Аммоний-ион,2018,8,20.0
Аммоний-ион,2018,9,22.25
Аммоний-ион,2018,10,22.0
Аммоний-ион,2018,11,28.2
Аммоний-ион,2018,12,21.5
Аммоний-ион,2019,1,21.0
Аммоний-ион,2019,2,17.75
Аммоний-ион,2019,3,23.4
Аммоний-ион,2019,4,12.8
Аммоний-ион,2019,5,19.75
Аммоний-ион,2019,6,21.333333333333332
Аммоний-ион,2019,7,17.166666666666668
Аммоний-ион,2019,8,22.0
Аммоний-ион,2019,9,16.666666666666668
Аммоний-ион,2019,10,23.0
Аммоний-ион,2019,11,29.333333333333332
Аммоний-ион,2019,12,13.0
Аммоний-ион,2020,1,23.333333333333332
Аммоний-ион,2020,2,18.4
Аммоний-ион,2020,3,17.5
Аммоний-ион,2020,4,18.0
Аммоний-ион,2020,5,16.5
Аммоний-ион,2020,6,18.75
Аммоний-ион,2020,7,20.5
Аммоний-ион,2020,8,16.666666666666668
Аммоний-ион,2020,9,24.5
Аммоний-ион,2020,10,19.166666666666668
Аммоний-ион,2020,11,26.0
Аммоний-ион,2020,12,16.333333333333332
Аммоний-ион,2021,1,36.0
Аммоний-ион,2021,2,22.0
Аммоний-ион,2021,3,22.666666666666668
Аммоний-ион,2021,4,23.833333333333332
Аммоний-ион,2021,5,19.75
Аммоний-ион,2021,6,13.833333333333334
Аммоний-ион,2021,7,22.125
Аммоний-ион,2021,8,19.0
БПК5,2008,1,16.0
БПК5,2008,2,17.8
БПК5,2008,3,11.5
БПК5,2008,4,7.333333333333333
БПК5,2008,5,9.833333333333334
БПК5,2008,6,14.666666666666666
БПК5,2008,7,18.0
БПК5,2008,8,6.0
БПК5,2008,9,9.333333333333334
БПК5,2008,10,10.5
БПК5,2008,11,25.450000000000003
БПК5,2008,12,12.0
БПК5,2009,2,13.5
БПК5,2009,3,8.8
БПК5,2009,4,9.5
БПК5,2009,5,8.833333333333334
БПК5,2009,6,12.0
БПК5,2009,7,14.8
БПК5,2009,8,13.5
БПК5,2009,9,11.25
БПК5,2009,10,12.8
БПК5,2009,11,13.5
БПК5,2009,12,20.0
БПК5,2010,1,12.0
БПК5,2010,2,11.5
БПК5,2010,3,6.8
БПК5,2010,4,8.0
БПК5,2010,5,8.5
БПК5,2010,6,17.5
БПК5,2010,7,23.93
БПК5,2010,8,16.996000000000002
БПК5,2010,9,9.0
БПК5,2010,10,11.333333333333334
БПК5,2010,11,6.5
БПК5,2010,12,14.75
БПК5,2011,1,10.75
БПК5,2011,2,12.8
БПК5,2011,3,13.4
БПК5,2011,4,8.2
БПК5,2011,5,10.4
БПК5,2011,6,12.5
БПК5,2011,7,7.75
БПК5,2011,8,9.0
БПК5,2011,9,13.25
БПК5,2011,10,8.2
БПК5,2011,11,8.666666666666666
БПК5,2011,12,10.25
БПК5,2012,1,9.333333333333334
БПК5,2012,2,9.0
БПК5,2012,3,12.5
БПК5,2012,4,9.0
БПК5,2012,5,11.75
БПК5,2012,6,8.666666666666666
БПК5,2012,7,8.833333333333334
БПК5,2012,8,10.6
БПК5,2012,9,7.666666666666667
БПК5,2012,10,9.0
БПК5,2012,11,9.25
БПК5,2012,12,8.5
БПК5,2013,1,10.666666666666666
БПК5,2013,2,10.666666666666666
БПК5,2013,3,12.25
БПК5,2013,4,7.75
БПК5,2013,5,12.0
БПК5,2013,6,12.714285714285714
БПК5,2013,7,12.2
БПК5,2013,8,10.0
БПК5,2013,9,13.333333333333334
БПК5,2013,10,9.0
БПК5,2013,11,14.666666666666666
БПК5,2014,1,9.0
БПК5,2014,2,8.25
БПК5,2014,3,10.0
БПК5,2014,4,11.333333333333334
БПК5,2014,5,8.5
БПК5,2014,6,9.666666666666666
БПК5,2014,7,13.166666666666666
БПК5,2014,8,11.4
БПК5,2014,9,13.0
БПК5,2014,10,18.666666666666668
БПК5,2014,11,16.2
БПК5,2014,12,13.333333333333334
БПК5,2015,1,10.333333333333334
БПК5,2015,2,10.5
БПК5,2015,3,12.2
БПК5,2015,4,12.0
БПК5,2015,5,10.25
БПК5,2015,6,10.666666666666666
БПК5,2015,7,12.5
БПК5,2015,8,11.0
БПК5,2015,9,9.25
БПК5,2015,10,18.0
БПК5,2015,11,13.166666666666666
БПК5,2015,12,12.5
БПК5,2016,1,8.0
БПК5,2016,2,11.5
БПК5,2016,3,12.5
БПК5,2016,4,12.0
БПК5,2016,5,13.6
БПК5,2016,6,8.0
БПК5,2016,7,7.166666666666667
БПК5,2016,8,9.4
БПК5,2016,9,11.333333333333334
БПК5,2016,10,6.0
БПК5,2016,11,9.333333333333334
БПК5,2016,12,13.0
БПК5,2017,1,10.0
БПК5,2017,2,8.571428571428571
БПК5,2017,3,12.25
БПК5,2017,4,10.0
БПК5,2017,5,12.714285714285714
БПК5,2017,6,8.666666666666666
БПК5,2017,7,7.571428571428571
БПК5,2017,8,9.428571428571429
БПК5,2017,9,8.5
БПК5,2017,10,7.2
БПК5,2017,11,11.25
БПК5,2017,12,13.2
БПК5,2018,1,7.0
БПК5,2018,2,11.333333333333334
БПК5,2018,3,12.0
БПК5,2018,4,9.2
БПК5,2018,5,8.0
БПК5,2018,6,10.6
БПК5,2018,7,12.428571428571429
БПК5,2018,8,11.166666666666666
БПК5,2018,9,13.75
БПК5,2018,10,10.0
БПК5,2018,11,16.0
БПК5,2018,12,14.8
БПК5,2019,1,14.0
БПК5,2019,2,12.2
БПК5,2019,3,10.875
БПК5,2019,4,8.75
БПК5,2019,5,11.571428571428571
БПК5,2019,6,11.0
БПК5,2019,7,11.571428571428571
БПК5,2019,8,11.0
БПК5,2019,9,11.428571428571429
БПК5,2019,10,9.6
БПК5,2019,11,13.666666666666666
БПК5,2019,12,11.0
БПК5,2020,1,8.666666666666666
БПК5,2020,2,10.4
БПК5,2020,3,23.400000000000002
БПК5,2020,4,18.67777777777778
БПК5,2020,5,13.833333333333334
БПК5,2020,6,10.0
БПК5,2020,7,12.666666666666666
БПК5,2020,8,13.6
БПК5,2020,9,14.0
БПК5,2020,10,15.4
БПК5,2020,11,13.666666666666666
БПК5,2020,12,15.0
БПК5,2021,1,14.166666666666666
БПК5,2021,2,13.8
БПК5,2021,3,13.166666666666666
БПК5,2021,4,13.6
БПК5,2021,5,10.833333333333334
БПК5,2021,6,10.125
БПК5,2021,7,10.1
БПК5,2021,8,11.916666666666666
Бенз(а)пирен,2020,1,4.0
Бенз(а)пирен,2020,4,4.9
Бенз(а)пирен,2020,5,4.0
Бенз(а)пирен,2020,6,3.0
Бенз(а)пирен,2020,10,4.0
Бенз(а)пирен,2020,12,4.0
Бенз(а)пирен,2021,1,4.0
Бенз(а)пирен,2021,2,4.0
Бенз(а)пирен,2021,4,4.0
Бенз(а)пирен,2021,5,4.0
Бенз(а)пирен,2021,7,4.0
Бор,2019,2,11.0
Взвешенные вещества,2008,1,23.714285714285715
Взвешенные вещества,2008,2,38.0
Взвешенные вещества,2008,3,25.5
Взвешенные вещества,2008,4,37.21666666666667
Взвешенные вещества,2008,5,32.45454545454545
Взвешенные вещества,2008,6,36.81625
Взвешенные вещества,2008,7,31.9
Взвешенные вещества,2008,8,30.0
Взвешенные вещества,2008,9,22.571428571428573
Взвешенные вещества,2008,10,18.22222222222222
Взвешенные вещества,2008,11,24.285714285714285
Взвешенные вещества,2008,12,25.125
Взвешенные вещества,2009,1,23.833333333333332
Взвешенные вещества,2009,2,25.75
Взвешенные вещества,2009,3,24.9
Взвешенные вещества,2009,4,32.5
Взвешенные вещества,2009,5,38.27272727272727
Взвешенные вещества,2009,6,34.2
Взвешенные вещества,2009,7,34.285714285714285
Взвешенные вещества,2009,8,22.5
Взвешенные вещества,2009,9,29.0
Взвешенные вещества,2009,10,24.0
Взвешенные вещества,2009,11,24.428571428571427
Взвешенные вещества,2009,12,23.857142857142858
