year,month,pollution_count
2008,1,53
2008,2,68
2008,3,66
2008,4,68
2008,5,58
2008,6,39
2008,7,48
2008,8,43
2008,9,46
2008,10,50
2008,11,47
2008,12,40
2009,1,52
2009,2,67
2009,3,79
2009,4,56
2009,5,51
2009,6,67
2009,7,63
2009,8,50
2009,9,56
2009,10,57
2009,11,43
2009,12,40
2010,1,46
2010,2,68
2010,3,78
2010,4,76
2010,5,64
2010,6,66
2010,7,66
2010,8,78
2010,9,59
2010,10,56
2010,11,58
2010,12,50
2011,1,59
2011,2,77
2011,3,85
2011,4,76
2011,5,54
2011,6,51
2011,7,70
2011,8,68
2011,9,61
2011,10,59
2011,11,51
2011,12,48
2012,1,39
2012,2,81
2012,3,93
2012,4,81
2012,5,64
2012,6,50
2012,7,68
2012,8,61
2012,9,48
2012,10,47
2012,11,40
2012,12,48
2013,1,47
2013,2,58
2013,3,72
2013,4,82
2013,5,56
2013,6,63
2013,7,73
2013,8,52
2013,9,43
2013,10,41
2013,11,43
2013,12,46
2014,1,43
2014,2,68
2014,3,57
2014,4,65
2014,5,63
2014,6,53
2014,7,60
2014,8,60
2014,9,58
2014,10,57
2014,11,62
2014,12,54
2015,1,57
2015,2,76
2015,3,84
2015,4,65
2015,5,76
2015,6,72
2015,7,71
2015,8,78
2015,9,67
2015,10,71
2015,11,67
2015,12,58
2016,1,47
2016,2,66
2016,3,68
2016,4,68
2016,5,68
2016,6,72
2016,7,84
2016,8,69
2016,9,49
2016,10,71
2016,11,67
2016,12,52
2017,1,51
2017,2,62
2017,3,83
2017,4,65
2017,5,80
2017,6,59
2017,7,66
2017,8,74
2017,9,71
2017,10,64
2017,11,55
2017,12,40
2018,1,46
2018,2,65
2018,3,67
2018,4,75
2018,5,63
2018,6,76
2018,7,75
2018,8,68
2018,9,57
2018,10,62
2018,11,61
2018,12,55
2019,1,59
2019,2,78
2019,3,71
2019,4,80
2019,5,73
2019,6,84
2019,7,69
2019,8,68
2019,9,60
2019,10,62
2019,11,58
2019,12,52
2020,1,40
2020,2,53
2020,3,59
2020,4,70
2020,5,65
2020,6,66
2020,7,80
2020,8,63
2020,9,68
2020,10,62
2020,11,55
2020,12,45
2021,1,46
2021,2,75
2021,3,84
2021,4,80
2021,5,73
2021,6,64
2021,7,72
2021,8,74
