year,month,pollution_count
2008,1,120
2008,2,118
2008,3,134
2008,4,206
2008,5,176
2008,6,165
2008,7,169
2008,8,109
2008,9,118
2008,10,118
2008,11,94
2008,12,92
2009,1,107
2009,2,148
2009,3,181
2009,4,144
2009,5,179
2009,6,216
2009,7,182
2009,8,116
2009,9,134
2009,10,146
2009,11,91
2009,12,109
2010,1,120
2010,2,142
2010,3,158
2010,4,254
2010,5,196
2010,6,170
2010,7,147
2010,8,186
2010,9,166
2010,10,127
2010,11,151
2010,12,120
2011,1,120
2011,2,178
2011,3,181
2011,4,202
2011,5,207
2011,6,180
2011,7,187
2011,8,189
2011,9,168
2011,10,139
2011,11,120
2011,12,117
2012,1,101
2012,2,192
2012,3,221
2012,4,268
2012,5,225
2012,6,191
2012,7,220
2012,8,172
2012,9,151
2012,10,126
2012,11,115
2012,12,134
2013,1,115
2013,2,158
2013,3,217
2013,4,250
2013,5,255
2013,6,184
2013,7,208
2013,8,214
2013,9,154
2013,10,142
2013,11,109
2013,12,107
2014,1,118
2014,2,155
2014,3,141
2014,4,221
2014,5,243
2014,6,199
2014,7,200
2014,8,157
2014,9,144
2014,10,174
2014,11,168
2014,12,165
2015,1,136
2015,2,192
2015,3,223
2015,4,221
2015,5,302
2015,6,188
2015,7,196
2015,8,208
2015,9,212
2015,10,203
2015,11,184
2015,12,151
2016,1,133
2016,2,160
2016,3,186
2016,4,269
2016,5,309
2016,6,198
2016,7,298
2016,8,204
2016,9,180
2016,10,163
2016,11,144
2016,12,100
2017,1,128
2017,2,139
2017,3,163
2017,4,221
2017,5,270
2017,6,186
2017,7,219
2017,8,235
2017,9,188
2017,10,158
2017,11,103
2017,12,104
2018,1,98
2018,2,130
2018,3,164
2018,4,205
2018,5,238
2018,6,242
2018,7,245
2018,8,201
2018,9,152
2018,10,163
2018,11,132
2018,12,108
2019,1,139
2019,2,180
2019,3,185
2019,4,261
2019,5,264
2019,6,291
2019,7,263
2019,8,184
2019,9,170
2019,10,157
2019,11,151
2019,12,139
2020,1,90
2020,2,127
2020,3,150
2020,4,251
2020,5,242
2020,6,236
2020,7,260
2020,8,217
2020,9,200
2020,10,199
2020,11,129
2020,12,115
2021,1,104
2021,2,142
2021,3,189
2021,4,208
2021,5,247
2021,6,165
2021,7,139
2021,8,161
