subject,total_cases,avg_concentration,avg_exceed_ratio,records
Республика Алтай,3,42.333333333333336,22250.0,3
Тверская область,79,25.966363636363635,17798.574712643676,44
Камчатский край,118,35.84943396226415,13913.10606060606,53
Ярославская область,9,25.866666666666667,13212.222222222224,9
Магаданская область,138,43.538383838383844,11931.666666666664,99
Оренбургская область,199,25.89830508474576,11433.472061657034,177
Кабардино-Балкарская Республика,11,18.768333333333334,9650.0,6
Мурманская область,1554,22.065211523687584,9099.22245537635,781
Республика Саха (Якутия),37,25.59259259259259,9005.263157894737,27
Красноярский край,420,25.635857142857144,8914.869114331723,224
