subject,total_cases,avg_concentration,avg_exceed_ratio,records
Свердловская область,5195,28.046887159533075,6419.0477104377105,1028
Московская область,3723,20.728901830282865,1147.0581501831502,601
Челябинская область,2005,21.96707650273224,5315.459234828496,732
Нижегородская область,1858,23.894202898550724,1040.4664581081079,345
Мурманская область,1554,22.065211523687584,9099.22245537635,781
Пермский край,1203,28.642200488997556,3125.1581862745093,409
Приморский край,1142,23.009596996996994,2707.52887643678,666
Кировская область,1047,23.275407725321887,2824.76052631579,233
Хабаровский край,982,26.93974683544304,8591.447821681862,395
Иркутская область,829,23.65938864628821,74.28571428571429,229
