river_basin,total_cases,avg_concentration,avg_exceed_ratio,records
р. Лена,87,24.291666666666668,12342.592592592591,48
р. Колыма,97,45.2469696969697,11372.222222222223,66
р. Урал,516,22.871807692307694,11111.893425925926,260
р. Северная Двина,444,20.3345205479452,9381.088913043479,365
р. Енисей,705,23.37695438596491,9082.933968253967,285
р. Терек,385,75.80728260869564,7751.247311827958,184
р. Тобол,3591,27.418136363636368,6255.853464755076,880
"малые реки, озера, водохранилища",3167,23.512965490887712,5888.099357400934,1701
р. Амур,2133,23.66508994464945,5450.978801355356,1084
р. Иртыш,106,29.254285714285714,5387.115384615385,70
