river_basin,total_cases,avg_concentration,avg_exceed_ratio,records
р. Волга,9154,21.381716144774288,1667.2293537205398,2459
р. Обь,4844,27.999239130434784,4305.924737344796,1495
р. Тобол,3591,27.418136363636368,6255.853464755076,880
"малые реки, озера, водохранилища",3167,23.512965490887712,5888.099357400934,1701
р. Амур,2133,23.66508994464945,5450.978801355356,1084
р. Кама,2056,25.981100412654744,3260.888006872852,727
р. Енисей,705,23.37695438596491,9082.933968253967,285
р. Урал,516,22.871807692307694,11111.893425925926,260
р. Дон,458,16.74112033195021,845.1452380952381,241
р. Северная Двина,444,20.3345205479452,9381.088913043479,365
