river_basin,total_cases,avg_concentration,avg_exceed_ratio,records
морские акватории,5,10.5725,0.0,4
р. Кубань,25,31.741666666666664,370.0,12
р. Ангара,401,25.980392156862745,1240.0,102
реки Черноморского побережья Краснодарского края (бассейн Черного моря),1,13.0,0.0,1
р. Онега,1,18.0,1800.0,1
р. Кама,2056,25.981100412654744,3260.888006872852,727
р. Нева,10,22.6375,2700.0,8
р. Печора,84,21.25254545454545,3271.315789473684,55
р. Северная Двина,444,20.3345205479452,9381.088913043479,365
р. Урал,516,22.871807692307694,11111.893425925926,260
р. Дон,458,16.74112033195021,845.1452380952381,241
р. Тобол,3591,27.418136363636368,6255.853464755076,880
"малые реки, озера, водохранилища",3167,23.512965490887712,5888.099357400934,1701
р. Днепр,94,8.469230769230768,214.86309523809527,78
р. Лена,87,24.291666666666668,12342.592592592591,48
р. Енисей,705,23.37695438596491,9082.933968253967,285
р. Амур,2133,23.66508994464945,5450.978801355356,1084
р. Колыма,97,45.2469696969697,11372.222222222223,66
р. Волга,9154,21.381716144774288,1667.2293537205398,2459
р. Ока,154,18.07013888888889,2929.793103448276,72
р. Терек,385,75.80728260869564,7751.247311827958,184
р. Иртыш,106,29.254285714285714,5387.115384615385,70
р. Обь,4844,27.999239130434784,4305.924737344796,1495
