"id";"period";"subject";"municipality";"settlement";"oktmo";"water_body";"indicator";"hazard_class";"cnt_cases";"value_min";"value_max";"unit"
1;2008-01-31;Камчатский край;Усть-Камчатский район;п. Козыревск;"30619405101";р. Камчатка;Кадмий;"2";1;6;6;ПДК
2;2008-01-31;Курганская область;Курган;г. Курган;"37701000001";вдхр. Курганское;Марганец;"4";1;60;60;ПДК
3;2008-01-31;Московская область;Королёв;г. Королев;"46734000001";ручей, впадающий в реку Клязьму;Нефть и нефтепродукты;"3";8;71;100;ПДК
4;2008-01-31;Мурманская область;Печенгский муниципальный район;пгт. Никель;"47515000051";р. Колос-Йоки;Никель;"3";1;60;60;ПДК
5;2008-01-31;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;г. Мончегорск;"47715000111";р. Нюдуай;Водородный показатель (pH);"";1;9.9;9.9;pH
6;2008-01-31;Омская область;Крутинский район;рп. Крутинка;"52626151051";оз. Ик;Марганец;"4";1;85;85;ПДК
7;2008-01-31;Омская область;Усть-Ишимский район;с. Усть-Ишим;"52657432101";р. Ишим;Марганец;"4";1;54;54;ПДК
8;2008-01-31;Оренбургская область;Медногорск;г. Медногорск;"53715000001";р. Блява;Медь;"3";1;155;155;ПДК
9;2008-01-31;Пермский край;NaN;NaN;NaN;р. Вильва;Марганец;"4";1;122;122;ПДК
10;2008-01-31;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Марганец;"4";1;895;895;ПДК
11;2008-01-31;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Железо общее;"4";1;2890;2890;ПДК
12;2008-01-31;Пермский край;Губаха;г. Губаха;"57717000001";р. Косьва;Железо общее;"4";1;73;73;ПДК
13;2008-01-31;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Марганец;"4";1;135;135;ПДК
14;2008-01-31;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Железо общее;"4";1;180;180;ПДК
15;2008-01-31;Сахалинская область;городской округ Город Южно-Сахалинск;г. Южно-Сахалинск;"64701000001";р. Сусуя;Сульфиды и сероводород;"4";1;0.0008;0.0008;мг/л
16;2008-01-31;Сахалинская область;Поронайский городской округ;г. Поронайск;"64740000001";р. Черная;Марганец;"4";1;68;68;ПДК
17;2008-01-31;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Нитрит-ионы;"4э";1;73;73;ПДК
18;2008-01-31;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Взвешенные вещества;"";1;110;110;ПДК
19;2008-01-31;Свердловская область;город Каменск-Уральский;г. Каменск-Уральский;"65740000001";р. Исеть;Нитрит-ионы;"4э";1;128;128;ПДК
20;2008-01-31;Свердловская область;город Каменск-Уральский;г. Каменск-Уральский;"65740000001";р. Исеть;Нитрит-ионы;"4э";1;75;75;ПДК
21;2008-01-31;Свердловская область;Белоярский городской округ;с. Колюткино;"65706000201";р. Исеть;Нитрит-ионы;"4э";1;184;184;ПДК
22;2008-01-31;Свердловская область;Невьянский городской округ;г. Невьянск;"65714000001";р. Нейва;Марганец;"4";1;55;55;ПДК
23;2008-01-31;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Патрушиха;Марганец;"4";1;76;76;ПДК
24;2008-01-31;Свердловская область;Берёзовский городской округ;г. Березовский;"65731000001";р. Пышма;Марганец;"4";1;79;79;ПДК
25;2008-01-31;Свердловская область;Берёзовский городской округ;г. Березовский;"65731000001";р. Пышма;Нитрит-ионы;"4э";1;116;116;ПДК
26;2008-01-31;Свердловская область;городской округ Верхний Тагил;г. Верхний Тагил;"65733000001";р. Тагил;Марганец;"4";1;77;77;ПДК
27;2008-01-31;Свердловская область;Слободо-Туринский муниципальный район;с. Тимофеево;"65639460161";р. Тура;Марганец;"4";1;62;62;ПДК
28;2008-01-31;Свердловская область;Слободо-Туринский муниципальный район;с. Тимофеево;"65639460161";р. Тура;Растворенный кислород;"";1;1.19;1.19;мг/л
29;2008-01-31;Свердловская область;Слободо-Туринский муниципальный район;с. Тимофеево;"65639460161";р. Тура;Марганец;"4";1;52;52;ПДК
30;2008-01-31;Тюменская область;Салехард;г. Салехард;"71951000001";р. Полуй;Растворенный кислород;"";1;1.95;1.95;мг/л
31;2008-01-31;Тюменская область;Пуровский муниципальный район;пгт. Уренгой;"71920159051";р. Пур;Железо общее;"4";1;69;69;ПДК
32;2008-02-29;Вологодская область;Сокольский район;г. Сокол;"19638101001";р. Пельшма;Лигносульфонаты;"4";1;84;84;ПДК
33;2008-02-29;Вологодская область;Сокольский район;г. Сокол;"19638101001";р. Пельшма;БПК5;"";1;27;27;ПДК
34;2008-02-29;Кемеровская область - Кузбасс;Гурьевский район;г. Гурьевск;"32502000001";р. Малый Бачат;Марганец;"4";1;50;50;ПДК
35;2008-02-29;Курганская область;Курган;г. Курган;"37701000001";вдхр. Курганское;Марганец;"4";1;92;92;ПДК
36;2008-02-29;Курганская область;Курган;г. Курган;"37701000001";р. Тобол;Марганец;"4";1;70;70;ПДК
37;2008-02-29;Курганская область;Курган;г. Курган;"37701000001";р. Тобол;Марганец;"4";1;68;68;ПДК
38;2008-02-29;Курганская область;Белозерский район;с. Белозерское;"37604408101";р. Тобол;Марганец;"4";1;54;54;ПДК
39;2008-02-29;Курганская область;Звериноголовский район;с. Звериноголовское;"37609418101";р. Тобол;Марганец;"4";1;100;100;ПДК
40;2008-02-29;Московская область;Королёв;г. Королев;"46734000001";ручей, впадающий в реку Клязьму;Нефть и нефтепродукты;"3";3;72;90;ПДК
41;2008-02-29;Мурманская область;Печенгский муниципальный район;пгт. Никель;"47515000051";р. Колос-Йоки;Никель;"3";1;59;59;ПДК
42;2008-02-29;Омская область;Калачинский район;г. Калачинск;"52618101001";р. Омь;Марганец;"4";1;60;60;ПДК
43;2008-02-29;Омская область;Калачинский район;г. Калачинск;"52618101001";р. Омь;Марганец;"4";1;62;62;ПДК
44;2008-02-29;Омская область;Тарский район;с. Васисс;"52654407101";р. Шиш;Марганец;"4";1;100;100;ПДК
45;2008-02-29;Оренбургская область;Медногорск;г. Медногорск;"53715000001";р. Блява;Медь;"3";1;109;109;ПДК
46;2008-02-29;Пермский край;Соликамск;г. Соликамск;"57730000001";вдхр. Камское;Марганец;"4";1;56;56;ПДК
47;2008-02-29;Пермский край;NaN;NaN;NaN;р. Вильва;Марганец;"4";1;94;94;ПДК
48;2008-02-29;Пермский край;NaN;NaN;NaN;р. Вильва;Железо общее;"4";1;388;388;ПДК
49;2008-02-29;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Железо общее;"4";1;2660;2660;ПДК
50;2008-02-29;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Марганец;"4";1;750;750;ПДК
51;2008-02-29;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Марганец;"4";1;150;150;ПДК
52;2008-02-29;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Железо общее;"4";1;277;277;ПДК
53;2008-02-29;Приморский край;Артёмовский;г. Артем;"05705000001";р. Кневичанка;Сульфиды и сероводород;"4";1;0.0045;0.0045;мг/л
54;2008-02-29;Сахалинская область;Поронайский городской округ;г. Поронайск;"64740000001";р. Поронай;Кадмий;"2";1;18;18;ПДК
55;2008-02-29;Свердловская область;Ирбитское муниципальное образование;г. Ирбит;"65739000";р. Ирбит;Марганец;"4";1;52;52;ПДК
56;2008-02-29;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Взвешенные вещества;"";1;163;163;ПДК
57;2008-02-29;Свердловская область;Невьянский городской округ;г. Невьянск;"65714000001";р. Нейва;Марганец;"4";1;61;61;ПДК
58;2008-02-29;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Патрушиха;Марганец;"4";1;68;68;ПДК
59;2008-02-29;Свердловская область;Тавдинский городской округ;г. Тавда;"65723000001";р. Тавда;Марганец;"4";1;71;71;ПДК
60;2008-02-29;Свердловская область;Тавдинский городской округ;г. Тавда;"65723000001";р. Тавда;Марганец;"4";1;140;140;ПДК
61;2008-02-29;Свердловская область;городской округ Верхний Тагил;г. Верхний Тагил;"65733000001";р. Тагил;Марганец;"4";1;65;65;ПДК
62;2008-02-29;Свердловская область;Слободо-Туринский муниципальный район;с. Тимофеево;"65639460161";р. Тура;Марганец;"4";1;51;51;ПДК
63;2008-02-29;Тюменская область;Тобольский район;д. Чукманка;"71642420131";р. Аремзянка;Марганец;"4";1;72;72;ПДК
64;2008-02-29;Тюменская область;Пуровский муниципальный район;пгт. Уренгой;"71920159051";р. Пур;Железо общее;"4";1;62;62;ПДК
65;2008-02-29;Тюменская область;Тобольск;г. Тобольск;"71710000001";р. Тобол;Марганец;"4";1;51;51;ПДК
