"id";"period";"okato";"subject";"river_basin";"indicator";"hazard_class";"cnt_cases";"value_min";"value_max";"unit"
1;2008-01-31;"14000000000";Белгородская область;р. Дон;Нитрит-ионы;"4э";"4";10;15;ПДК
2;2008-01-31;"19000000000";Вологодская область;р. Волга;Нитрит-ионы;"4э";"1";38;38;ПДК
3;2008-01-31;"19000000000";Вологодская область;р. Северная Двина;БПК5;"";"1";13;13;ПДК
4;2008-01-31;"19000000000";Вологодская область;р. Северная Двина;ХПК;"";"1";20;20;ПДК
5;2008-01-31;"19000000000";Вологодская область;р. Северная Двина;Лигносульфонаты;"4";"1";35;35;ПДК
6;2008-01-31;"19000000000";Вологодская область;р. Северная Двина;Нитрит-ионы;"4э";"2";11;13;ПДК
7;2008-01-31;"76000000000";Забайкальский край;р. Амур;Нитрит-ионы;"4э";"2";11;18;ПДК
8;2008-01-31;"76000000000";Забайкальский край;р. Амур;Аммоний-ион;"4";"1";12;12;ПДК
9;2008-01-31;"33000000000";Кировская область;р. Волга;Взвешенные вещества;"";"3";10;45;ПДК
10;2008-01-31;"37000000000";Курганская область;р. Обь;Взвешенные вещества;"";"2";10;18;ПДК
11;2008-01-31;"37000000000";Курганская область;р. Обь;Марганец;"4";"4";32;48;ПДК
12;2008-01-31;"41000000000";Ленинградская область;малые реки, озера, водохранилища;Марганец;"4";"2";32;35;ПДК
13;2008-01-31;"46000000000";Московская область;р. Волга;Аммоний-ион;"4";"2";13;30;ПДК
14;2008-01-31;"46000000000";Московская область;р. Волга;Нитрит-ионы;"4э";"11";11;32;ПДК
15;2008-01-31;"47000000000";Мурманская область;малые реки, озера, водохранилища;Сульфаты;"4";"1";13;13;ПДК
16;2008-01-31;"47000000000";Мурманская область;малые реки, озера, водохранилища;Медь;"3";"1";40;40;ПДК
17;2008-01-31;"47000000000";Мурманская область;малые реки, озера, водохранилища;Ксантогенат бутиловый;"4";"1";37;37;ПДК
18;2008-01-31;"47000000000";Мурманская область;малые реки, озера, водохранилища;Никель;"3";"3";10;26;ПДК
19;2008-01-31;"47000000000";Мурманская область;малые реки, озера, водохранилища;Нитрит-ионы;"4э";"1";24;24;ПДК
20;2008-01-31;"22000000000";Нижегородская область;р. Волга;Сульфаты;"4";"1";11;11;ПДК
21;2008-01-31;"22000000000";Нижегородская область;р. Волга;Взвешенные вещества;"";"1";18;18;ПДК
22;2008-01-31;"50000000000";Новосибирская область;р. Обь;Нитрит-ионы;"4э";"1";11;11;ПДК
23;2008-01-31;"50000000000";Новосибирская область;р. Обь;Аммоний-ион;"4";"1";14;14;ПДК
